evidence_id,family,indicator,observation_type,value,collected_utc,collection_mechanism,originating_service,original_query,raw_response_ref,sha256,provenance,confidence,relationship_type,first_seen,last_seen,asn,notes
RAP-PO-0001,Rapuncel,albinofennel.com,ct,"cert_count=2; sample_ids=28075611633,28075625414",2026-09-19T18:40:16Z,HTTP GET crt.sh output=json,crt.sh,albinofennel.com,evidence/passive-observations/certificate-transparency/rapuncel/ct_albinofennel.com_2026-09-19T184016Z.json,57a58870c62164459c9832f3be2966f7c9bc65da136ced6c01e8fc6978b786cc,OBSERVED_PASSIVE,High,OBSERVED_PASSIVE,2026-07-19T21:27:15,2026-07-19T22:18:41,,CT certificates observed for query=albinofennel.com; count=2. OBSERVED_PASSIVE fact only â€” does not establish actor ownership. Compare to vendor PRIMARY-SOURCE separately for CORROBORATED.
RAP-PO-0002,Rapuncel,albinofennel.com,rdap,http_status=200,2026-09-19T18:40:16Z,HTTP GET rdap.org/domain/{domain},rdap.org,albinofennel.com,evidence/passive-observations/rdap/rapuncel/rdap_albinofennel.com_2026-09-19T184016Z.json,e72f2481fe1852d8d4d87069fdc1d6eca773adbe0fa2664bbcd9758749438cdf,OBSERVED_PASSIVE,Moderate,OBSERVED_PASSIVE,,,,RDAP retrieval only. Not attribution. Registrar/CDN facts â‰  actor ownership.
RAP-PO-0003,Rapuncel,hanselarinmusky.com,ct,"cert_count=3; sample_ids=28601559424,28660973691,28601496874",2026-09-19T18:40:16Z,HTTP GET crt.sh output=json,crt.sh,hanselarinmusky.com,evidence/passive-observations/certificate-transparency/rapuncel/ct_hanselarinmusky.com_2026-09-19T184016Z.json,898bce4615d2208a88a0860cbfb68092c3e6761e353795ac6e3118dc40d5345f,OBSERVED_PASSIVE,High,OBSERVED_PASSIVE,2026-08-06T21:31:32,2026-08-06T22:22:26,,CT certificates observed for query=hanselarinmusky.com; count=3. OBSERVED_PASSIVE fact only â€” does not establish actor ownership. Compare to vendor PRIMARY-SOURCE separately for CORROBORATED.
RAP-PO-0004,Rapuncel,hanselarinmusky.com,rdap,http_status=200,2026-09-19T18:40:16Z,HTTP GET rdap.org/domain/{domain},rdap.org,hanselarinmusky.com,evidence/passive-observations/rdap/rapuncel/rdap_hanselarinmusky.com_2026-09-19T184016Z.json,c117b3c0d1ee26de4c6e97379aa7f3718d0b1f1830cf396dab514cc3806cc74e,OBSERVED_PASSIVE,Moderate,OBSERVED_PASSIVE,,,,RDAP retrieval only. Not attribution. Registrar/CDN facts â‰  actor ownership.
RAP-PO-0005,Rapuncel,icansamyope.com,ct,cert_count=0,2026-09-19T18:40:16Z,HTTP GET crt.sh output=json,crt.sh,icansamyope.com,evidence/passive-observations/certificate-transparency/rapuncel/ct_icansamyope.com_2026-09-19T184016Z.json,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,OBSERVED_PASSIVE,Moderate,OBSERVED_PASSIVE,,,,CT certificates observed for query=icansamyope.com; count=0. OBSERVED_PASSIVE fact only â€” does not establish actor ownership.
RAP-PO-0006,Rapuncel,icansamyope.com,rdap,http_status=404,2026-09-19T18:40:16Z,HTTP GET rdap.org/domain/{domain},rdap.org,icansamyope.com,evidence/passive-observations/rdap/rapuncel/rdap_icansamyope.com_2026-09-19T184016Z.json,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,OBSERVED_PASSIVE,Low,OBSERVED_PASSIVE,,,,RDAP retrieval only. Not attribution. Registrar/CDN facts â‰  actor ownership.
RAP-PO-0007,Rapuncel,istatlmenus.com,ct,"cert_count=17; sample_ids=24820842173,24820841652,24819254990,24820812400,25133770706",2026-09-19T18:40:16Z,HTTP GET crt.sh output=json,crt.sh,istatlmenus.com,evidence/passive-observations/certificate-transparency/rapuncel/ct_istatlmenus.com_2026-09-19T184016Z.json,b17be624d2246e28255bda9f3cd5d346d77aa3884fa5050d54b4cb7d41ddcd91,OBSERVED_PASSIVE,High,OBSERVED_PASSIVE,2026-03-06T00:00:00,2026-08-30T17:43:43,,CT certificates observed for query=istatlmenus.com; count=17. OBSERVED_PASSIVE fact only â€” does not establish actor ownership. Compare to vendor PRIMARY-SOURCE separately for CORROBORATED.
RAP-PO-0008,Rapuncel,istatlmenus.com,rdap,http_status=200,2026-09-19T18:40:16Z,HTTP GET rdap.org/domain/{domain},rdap.org,istatlmenus.com,evidence/passive-observations/rdap/rapuncel/rdap_istatlmenus.com_2026-09-19T184016Z.json,a36141eafdc43ee8b4b7ee0886d07a280d69c57429d18ab6c7c9095e07735c36,OBSERVED_PASSIVE,Moderate,OBSERVED_PASSIVE,,,,RDAP retrieval only. Not attribution. Registrar/CDN facts â‰  actor ownership.
RAP-PO-0009,Rapuncel,macperformancetools.com,ct,"cert_count=17; sample_ids=24821984258,24821985591,24822413805,24819753873,25133315449",2026-09-19T18:40:16Z,HTTP GET crt.sh output=json,crt.sh,macperformancetools.com,evidence/passive-observations/certificate-transparency/rapuncel/ct_macperformancetools.com_2026-09-19T184016Z.json,4ee11ccc7042d510fff2eb1a1f351421f7b6c73c79fc831f797f751a9dfe9272,OBSERVED_PASSIVE,High,OBSERVED_PASSIVE,2026-03-06T00:00:00,2026-08-30T15:14:56,,CT certificates observed for query=macperformancetools.com; count=17. OBSERVED_PASSIVE fact only â€” does not establish actor ownership. Compare to vendor PRIMARY-SOURCE separately for CORROBORATED.
RAP-PO-0010,Rapuncel,macperformancetools.com,rdap,http_status=200,2026-09-19T18:40:16Z,HTTP GET rdap.org/domain/{domain},rdap.org,macperformancetools.com,evidence/passive-observations/rdap/rapuncel/rdap_macperformancetools.com_2026-09-19T184016Z.json,e307371208b1a7cdc299fee6b6983d99d62690403171b099ba75f734ea7e60d0,OBSERVED_PASSIVE,Moderate,OBSERVED_PASSIVE,,,,RDAP retrieval only. Not attribution. Registrar/CDN facts â‰  actor ownership.
RAP-PO-0011,Rapuncel,zaffersnouty.com,ct,"cert_count=16; sample_ids=24245906262,24245912339,24245884714,24245903769,25482758694",2026-09-19T18:40:16Z,HTTP GET crt.sh output=json,crt.sh,zaffersnouty.com,evidence/passive-observations/certificate-transparency/rapuncel/ct_zaffersnouty.com_2026-09-19T184016Z.json,4e8401551741eea3acb3bb30789fe24b66e82dba935cd34fc21c9bff11955576,OBSERVED_PASSIVE,High,OBSERVED_PASSIVE,2026-02-07T14:54:28,2026-08-09T13:39:50,,CT certificates observed for query=zaffersnouty.com; count=16. OBSERVED_PASSIVE fact only â€” does not establish actor ownership. Compare to vendor PRIMARY-SOURCE separately for CORROBORATED.
RAP-PO-0012,Rapuncel,zaffersnouty.com,rdap,http_status=200,2026-09-19T18:40:16Z,HTTP GET rdap.org/domain/{domain},rdap.org,zaffersnouty.com,evidence/passive-observations/rdap/rapuncel/rdap_zaffersnouty.com_2026-09-19T184016Z.json,1d541af17cdb89cb80169cc1e85d2247946eb84d91242065678153c5f920cba1,OBSERVED_PASSIVE,Moderate,OBSERVED_PASSIVE,,,,RDAP retrieval only. Not attribution. Registrar/CDN facts â‰  actor ownership.
RAP-PO-0013,Rapuncel,ryanpresbrey.cc,ct,"cert_count=20; sample_ids=14893310760,14893300049,16218410629,15866823672,17014001085",2026-09-19T18:40:16Z,HTTP GET crt.sh output=json,crt.sh,ryanpresbrey.cc,evidence/passive-observations/certificate-transparency/rapuncel/ct_ryanpresbrey.cc_2026-09-19T184016Z.json,82a47297804596efe825bd9b14a288af435b5955284366fc900dd3889ee797ae,OBSERVED_PASSIVE,High,OBSERVED_PASSIVE,2024-10-11T19:42:45,2026-07-30T13:40:52,,CT certificates observed for query=ryanpresbrey.cc; count=20. OBSERVED_PASSIVE fact only â€” does not establish actor ownership. Compare to vendor PRIMARY-SOURCE separately for CORROBORATED.
RAP-PO-0014,Rapuncel,ryanpresbrey.cc,rdap,http_status=200,2026-09-19T18:40:16Z,HTTP GET rdap.org/domain/{domain},rdap.org,ryanpresbrey.cc,evidence/passive-observations/rdap/rapuncel/rdap_ryanpresbrey.cc_2026-09-19T184016Z.json,d8d189d40dac0131c9dab7a7217b8e54c86028bb337716f1c987f50a0f961dda,OBSERVED_PASSIVE,Moderate,OBSERVED_PASSIVE,,,,RDAP retrieval only. Not attribution. Registrar/CDN facts â‰  actor ownership.
NRB-PO-0001,NodeRabbit,visitfinancedentists.com,ct,"cert_count=25; sample_ids=17284450144,16841711834,18036437288,18036432358,19274041492",2026-09-19T18:40:16Z,HTTP GET crt.sh output=json,crt.sh,visitfinancedentists.com,evidence/passive-observations/certificate-transparency/noderabbit/ct_visitfinancedentists.com_2026-09-19T184016Z.json,73e6b348e8bd7643c06cf78cb22d7ee30f4919512ffba8e40685e815bb823290,OBSERVED_PASSIVE,High,OBSERVED_PASSIVE,2025-02-20T06:01:52,2026-07-14T02:22:25,,CT certificates observed for query=visitfinancedentists.com; count=25. OBSERVED_PASSIVE fact only â€” does not establish actor ownership. Compare to vendor PRIMARY-SOURCE separately for CORROBORATED.
NRB-PO-0002,NodeRabbit,visitfinancedentists.com,rdap,http_status=200,2026-09-19T18:40:16Z,HTTP GET rdap.org/domain/{domain},rdap.org,visitfinancedentists.com,evidence/passive-observations/rdap/noderabbit/rdap_visitfinancedentists.com_2026-09-19T184016Z.json,3d5dbd08f0be6ea0a47320d310eff97c99b1f84857a91898d6c986b0cae3cc12,OBSERVED_PASSIVE,Moderate,OBSERVED_PASSIVE,,,,RDAP retrieval only. Not attribution. Registrar/CDN facts â‰  actor ownership.
NRB-PO-0003,NodeRabbit,healthcomfsdpower.com,ct,"cert_count=2; sample_ids=29368565342,29246843450",2026-09-19T18:40:16Z,HTTP GET crt.sh output=json,crt.sh,healthcomfsdpower.com,evidence/passive-observations/certificate-transparency/noderabbit/ct_healthcomfsdpower.com_2026-09-19T184016Z.json,e9fb35664ecfb6e6869c132a7cd65971b1938cfd068ea2dd3e5d32ba6197c40f,OBSERVED_PASSIVE,High,OBSERVED_PASSIVE,2026-08-27T20:13:37,2026-09-01T00:00:00,,CT certificates observed for query=healthcomfsdpower.com; count=2. OBSERVED_PASSIVE fact only â€” does not establish actor ownership. Compare to vendor PRIMARY-SOURCE separately for CORROBORATED.
NRB-PO-0004,NodeRabbit,healthcomfsdpower.com,rdap,http_status=200,2026-09-19T18:40:16Z,HTTP GET rdap.org/domain/{domain},rdap.org,healthcomfsdpower.com,evidence/passive-observations/rdap/noderabbit/rdap_healthcomfsdpower.com_2026-09-19T184016Z.json,126162e9a4f6bfbad97d12fe71ea1d6ee1732ad863ef8dcba4329ce3359127e6,OBSERVED_PASSIVE,Moderate,OBSERVED_PASSIVE,,,,RDAP retrieval only. Not attribution. Registrar/CDN facts â‰  actor ownership.
NRB-PO-0005,NodeRabbit,msmanagementgrp.com,ct,fetch_status=502,2026-09-19T18:40:16Z,HTTP GET crt.sh output=json,crt.sh,msmanagementgrp.com,evidence/passive-observations/certificate-transparency/noderabbit/ct_msmanagementgrp.com_2026-09-19T184016Z.json,61b30d408583991fd69f3dec694e154cb652471e663328ad9c8482c9021ab5db,OBSERVED_PASSIVE,Low,OBSERVED_PASSIVE,,,,CT query attempted; response not usable JSON. Not attribution. Not PRIMARY-SOURCE.
NRB-PO-0006,NodeRabbit,msmanagementgrp.com,rdap,http_status=200,2026-09-19T18:40:16Z,HTTP GET rdap.org/domain/{domain},rdap.org,msmanagementgrp.com,evidence/passive-observations/rdap/noderabbit/rdap_msmanagementgrp.com_2026-09-19T184016Z.json,fbaa814220642cca13e1cb71e05ec24e388b395535d01c2c65e1f16e5b551763,OBSERVED_PASSIVE,Moderate,OBSERVED_PASSIVE,,,,RDAP retrieval only. Not attribution. Registrar/CDN facts â‰  actor ownership.
NRB-PO-0007,NodeRabbit,msmanagementgrpmedia.com,ct,fetch_status=None,2026-09-19T18:40:16Z,HTTP GET crt.sh output=json,crt.sh,msmanagementgrpmedia.com,evidence/passive-observations/certificate-transparency/noderabbit/ct_msmanagementgrpmedia.com_2026-09-19T184016Z.json,693919be92a592d0ab39d3a80a50801930732ee20d6dee5aaf1c0eb0cda7c5ff,OBSERVED_PASSIVE,Low,OBSERVED_PASSIVE,,,,CT query attempted; response not usable JSON. Not attribution. Not PRIMARY-SOURCE.
