"family","service","hits","note","path"
"Rapuncel","ThreatFox-browse","0","PAGE_OK_NO_IOC_LINKS","evidence\passive-observations\trackers\threatfox_browse_Rapuncel_2026-09-19T190912Z.html"
"Rapuncel","MalwareBazaar-browse","0","PAGE_OK_NO_SAMPLE_LINKS","evidence\passive-observations\trackers\malwarebazaar_browse_Rapuncel_2026-09-19T190912Z.html"
"Rapuncel","URLhaus-browse","0","PAGE_OK_NO_URL_LINKS","evidence\passive-observations\trackers\urlhaus_browse_Rapuncel_2026-09-19T190912Z.html"
"Settra","ThreatFox-browse","0","PAGE_OK_NO_IOC_LINKS","evidence\passive-observations\trackers\threatfox_browse_Settra_2026-09-19T190912Z.html"
"Settra","MalwareBazaar-browse","0","PAGE_OK_NO_SAMPLE_LINKS","evidence\passive-observations\trackers\malwarebazaar_browse_Settra_2026-09-19T190912Z.html"
"Settra","URLhaus-browse","0","PAGE_OK_NO_URL_LINKS","evidence\passive-observations\trackers\urlhaus_browse_Settra_2026-09-19T190912Z.html"
"RatHat","ThreatFox-browse","0","PAGE_OK_NO_IOC_LINKS","evidence\passive-observations\trackers\threatfox_browse_RatHat_2026-09-19T190912Z.html"
"RatHat","MalwareBazaar-browse","0","PAGE_OK_NO_SAMPLE_LINKS","evidence\passive-observations\trackers\malwarebazaar_browse_RatHat_2026-09-19T190912Z.html"
"RatHat","URLhaus-browse","0","PAGE_OK_NO_URL_LINKS","evidence\passive-observations\trackers\urlhaus_browse_RatHat_2026-09-19T190912Z.html"
"NodeRabbit","ThreatFox-browse","0","PAGE_OK_NO_IOC_LINKS","evidence\passive-observations\trackers\threatfox_browse_NodeRabbit_2026-09-19T190912Z.html"
"NodeRabbit","MalwareBazaar-browse","0","PAGE_OK_NO_SAMPLE_LINKS","evidence\passive-observations\trackers\malwarebazaar_browse_NodeRabbit_2026-09-19T190912Z.html"
"NodeRabbit","URLhaus-browse","0","PAGE_OK_NO_URL_LINKS","evidence\passive-observations\trackers\urlhaus_browse_NodeRabbit_2026-09-19T190912Z.html"
"PollCat","ThreatFox-browse","0","PAGE_OK_NO_IOC_LINKS","evidence\passive-observations\trackers\threatfox_browse_PollCat_2026-09-19T190912Z.html"
"PollCat","MalwareBazaar-browse","0","PAGE_OK_NO_SAMPLE_LINKS","evidence\passive-observations\trackers\malwarebazaar_browse_PollCat_2026-09-19T190912Z.html"
"PollCat","URLhaus-browse","0","PAGE_OK_NO_URL_LINKS","evidence\passive-observations\trackers\urlhaus_browse_PollCat_2026-09-19T190912Z.html"
"SynkLoader","ThreatFox-browse","0","PAGE_OK_NO_IOC_LINKS","evidence\passive-observations\trackers\threatfox_browse_SynkLoader_2026-09-19T190912Z.html"
"SynkLoader","MalwareBazaar-browse","0","PAGE_OK_NO_SAMPLE_LINKS","evidence\passive-observations\trackers\malwarebazaar_browse_SynkLoader_2026-09-19T190912Z.html"
"SynkLoader","URLhaus-browse","0","PAGE_OK_NO_URL_LINKS","evidence\passive-observations\trackers\urlhaus_browse_SynkLoader_2026-09-19T190912Z.html"
"Showboat","ThreatFox-browse","0","PAGE_OK_NO_IOC_LINKS","evidence\passive-observations\trackers\threatfox_browse_Showboat_2026-09-19T190912Z.html"
"Showboat","MalwareBazaar-browse","0","PAGE_OK_NO_SAMPLE_LINKS","evidence\passive-observations\trackers\malwarebazaar_browse_Showboat_2026-09-19T190912Z.html"
"Showboat","URLhaus-browse","0","PAGE_OK_NO_URL_LINKS","evidence\passive-observations\trackers\urlhaus_browse_Showboat_2026-09-19T190912Z.html"
"Cruciferra","ThreatFox-browse","0","PAGE_OK_NO_IOC_LINKS","evidence\passive-observations\trackers\threatfox_browse_Cruciferra_2026-09-19T190912Z.html"
"Cruciferra","MalwareBazaar-browse","0","PAGE_OK_NO_SAMPLE_LINKS","evidence\passive-observations\trackers\malwarebazaar_browse_Cruciferra_2026-09-19T190912Z.html"
"Cruciferra","URLhaus-browse","0","PAGE_OK_NO_URL_LINKS","evidence\passive-observations\trackers\urlhaus_browse_Cruciferra_2026-09-19T190912Z.html"
"PUROSANGUE","ThreatFox-browse","0","PAGE_OK_NO_IOC_LINKS","evidence\passive-observations\trackers\threatfox_browse_PUROSANGUE_2026-09-19T190912Z.html"
"PUROSANGUE","MalwareBazaar-browse","0","PAGE_OK_NO_SAMPLE_LINKS","evidence\passive-observations\trackers\malwarebazaar_browse_PUROSANGUE_2026-09-19T190912Z.html"
"PUROSANGUE","URLhaus-browse","0","PAGE_OK_NO_URL_LINKS","evidence\passive-observations\trackers\urlhaus_browse_PUROSANGUE_2026-09-19T190912Z.html"
