collected_utc,family,service,query,disposition,ioc_count,notes,raw_response_ref
2026-09-19T190837Z,Rapuncel,ThreatFox-API,tag:Rapuncel,BLOCKED_AUTH_REQUIRED,0,HTTP 401 Unauthorized — abuse.ch Auth-Key required. No IOC claim.,
2026-09-19T190837Z,Settra,ThreatFox-API,tag:Settra,BLOCKED_AUTH_REQUIRED,0,HTTP 401 Unauthorized — abuse.ch Auth-Key required. No IOC claim.,
2026-09-19T190837Z,RatHat,ThreatFox-API,tag:RatHat,BLOCKED_AUTH_REQUIRED,0,HTTP 401 Unauthorized — abuse.ch Auth-Key required. No IOC claim.,
2026-09-19T190837Z,NodeRabbit,ThreatFox-API,tag:NodeRabbit,BLOCKED_AUTH_REQUIRED,0,HTTP 401 Unauthorized — abuse.ch Auth-Key required. No IOC claim.,
2026-09-19T190837Z,PollCat,ThreatFox-API,tag:PollCat,BLOCKED_AUTH_REQUIRED,0,HTTP 401 Unauthorized — abuse.ch Auth-Key required. No IOC claim.,
2026-09-19T190837Z,SynkLoader,ThreatFox-API,tag:SynkLoader,BLOCKED_AUTH_REQUIRED,0,HTTP 401 Unauthorized — abuse.ch Auth-Key required. No IOC claim.,
2026-09-19T190837Z,Showboat,ThreatFox-API,tag:Showboat,BLOCKED_AUTH_REQUIRED,0,HTTP 401 Unauthorized — abuse.ch Auth-Key required. No IOC claim.,
2026-09-19T190837Z,Cruciferra,ThreatFox-API,tag:Cruciferra,BLOCKED_AUTH_REQUIRED,0,HTTP 401 Unauthorized — abuse.ch Auth-Key required. No IOC claim.,
2026-09-19T190837Z,PUROSANGUE,ThreatFox-API,tag:PUROSANGUE,BLOCKED_AUTH_REQUIRED,0,HTTP 401 Unauthorized — abuse.ch Auth-Key required. No IOC claim.,
2026-09-19T190837Z,Rapuncel,MalwareBazaar-API,tag:Rapuncel,BLOCKED_AUTH_REQUIRED,0,HTTP 401 Unauthorized — abuse.ch Auth-Key required. No IOC claim.,
2026-09-19T190837Z,Settra,MalwareBazaar-API,tag:Settra,BLOCKED_AUTH_REQUIRED,0,HTTP 401 Unauthorized — abuse.ch Auth-Key required. No IOC claim.,
