"family","service","query_status","count","path"
"Rapuncel","ThreatFox","ERROR","0","The remote server returned an error: (401) Unauthorized."
"Settra","ThreatFox","ERROR","0","The remote server returned an error: (401) Unauthorized."
"RatHat","ThreatFox","ERROR","0","The remote server returned an error: (401) Unauthorized."
"NodeRabbit","ThreatFox","ERROR","0","The remote server returned an error: (401) Unauthorized."
"PollCat","ThreatFox","ERROR","0","The remote server returned an error: (401) Unauthorized."
"SynkLoader","ThreatFox","ERROR","0","The remote server returned an error: (401) Unauthorized."
"Showboat","ThreatFox","ERROR","0","The remote server returned an error: (401) Unauthorized."
"Cruciferra","ThreatFox","ERROR","0","The remote server returned an error: (401) Unauthorized."
"PUROSANGUE","ThreatFox","ERROR","0","The remote server returned an error: (401) Unauthorized."
"Rapuncel","MalwareBazaar","ERROR","0","The remote server returned an error: (401) Unauthorized."
"Settra","MalwareBazaar","ERROR","0","The remote server returned an error: (401) Unauthorized."
"RatHat","MalwareBazaar","ERROR","0","The remote server returned an error: (401) Unauthorized."
"NodeRabbit","MalwareBazaar","ERROR","0","The remote server returned an error: (401) Unauthorized."
"PollCat","MalwareBazaar","ERROR","0","The remote server returned an error: (401) Unauthorized."
"SynkLoader","MalwareBazaar","ERROR","0","The remote server returned an error: (401) Unauthorized."
"Showboat","MalwareBazaar","ERROR","0","The remote server returned an error: (401) Unauthorized."
"Cruciferra","MalwareBazaar","ERROR","0","The remote server returned an error: (401) Unauthorized."
"PUROSANGUE","MalwareBazaar","ERROR","0","The remote server returned an error: (401) Unauthorized."
