Process Name,App Name,DLL Count,SHA256
ws.exe,PDFescape Desktop v4.0.24.4617,88,f88a861823f995c48ddb7afe8f4be90a5d1ea5deff3df0b0c152fa0e5c2f1b65
platform_experience_helper.exe,Google Chrome v150.0.7871.0,2,478ecf7dfe70fa5ae456fda7023d791fc4a6c1a1e41412dc8163717c614ae5f1
platform_experience_helper.exe,Google Chrome v151.0.7877.0,2,1fae7d654695f7c4e0f4bb8a42a4c33137652effc360b998708c6ffcac1380e6
msedgewebview2.exe,Microsoft Edge WebView2 v149.0.4022.69,33,e25226852835df592c11601b55e3b1e41c1308c07a395e298238d8a7365c1735
msedge.exe,Microsoft Edge v149.0.4022.69,33,a0806567fa2e180cbb281e8f47d15b316527bdd58165f60769fb46bff91ec565
mscopilot.exe,Copilot v149.0.4022.80,33,bdd7dcf5063982c28ace299035675a6b96de68bda936bbfcc68bd9562f45dd45
updater-ws.exe,PDFescape Desktop v4.0.24.4617,88,2e58b5c26ea4b9ecfc5102c964126d656a682e090ea1ad8870ab187523093f6b
pdf2pdfconv.exe,PDFescape Desktop v4.0.24.4617,6,c00ad5e215fc79c900363bd454a69ee33ef737709e26c1b0c51ea1264709a3e1
msedge.exe,Microsoft Edge v149.0.4022.80,33,a0806567fa2e180cbb281e8f47d15b316527bdd58165f60769fb46bff91ec565
escape.exe,PDFescape Desktop v4.0.24.4617,88,c25864e0a32742b8a0903a1eed7e176bc0ed296af345081bd44890f6fc31f61e
creator-ws.exe,PDFescape Desktop v4.0.24.4617,6,db1abdb2326eb2fd6153ba84f27b20d3ee1ca53a64df1776b3c820aef340de61
creator-app.exe,PDFescape Desktop v4.0.24.4617,10,10549a2a7671e7f036b4fe04062a0475b1c9717c9079ff4e628ea1647c30bfc2
crash-handler-app.exe,PDFescape Desktop v4.0.24.4617,88,7518ecf85f246042e8fb933c841c7c40b71cbae0e798900d3d707455c63c4610
xargs.exe,xargs v0.0.0.0,4,cac1d603d48ece8d86301d9e0f9f3f3eb6a1a9864a39a9524fe76a3e5f5c76cb
WizTree64.exe,WizTree v4.31.0.0,8,72208131742dbaf6871f648e297a054c8ad58cd318e4391772cdf4db34989a39
wc.exe,wc v0.0.0.0,4,3ab05efc4703295f0d36fd48da17f2021219494fb932a062a535ae17ea9f45b3
vsdbg.exe,Microsoft ® Visual Studio ® v18.5.10309.2631119583466080036585431653,4,3be2a5198dc46686ac514b8c70ecb28a8aff4dd56d4d0c60f66ebf5518ec85c9
vb7to8.exe,Microsoft® Windows® Operating System v18.0.11709.182,2,17d4935ddc1f05cc18861b8270d935d52fa77bda00ca3e694cdedd807a8e0d78
uniq.exe,uniq v0.0.0.0,4,07e78095a79870b52ac988989faa5ff8446e1a8cdc861165d7eb93904fff5211
uname.exe,uname v0.0.0.0,4,1cba275ff8e0c81f48898f017758c558ee5951cb0448c36628580beffdf4ef89
tr.exe,tr v0.0.0.0,4,7cf90be63820ba9ec66a10c0c4af84f0a2e3ec90a722ea6904219ec0b93bf1c1
touch.exe,touch v0.0.0.0,4,1d895e0f77cbc8b77c3a38da009e8ad8d23a371afd398da5408bdeffcddf5fc0
test.exe,test v0.0.0.0,4,bc151f331dbbe8d8558014bc55b983d20effd4ebbea04d2a29b6badf879ce423
tail.exe,tail v0.0.0.0,4,8608c4138642de6dca0806b266b3009c137dc373171978cf47418056a5e05c55
ssh-agent.exe,ssh-agent v0.0.0.0,4,138df27c7a8c35fbadde6fee35592336b04e058f4690b03f459ad79edd68ab63
ssh-add.exe,ssh-add v0.0.0.0,4,b6fec08648deaf7a77b50bc34ea8ac17c3cf240d06d0f1bffc60bf56d6f914b1
ssh.exe,ssh v0.0.0.0,17,6890c128c86cc2c38aad9fcb32a82b851ff3d38c714a1f656b8e445d7cd5e1c6
sort.exe,sort v0.0.0.0,5,7c5df851d821e23988641f35442a06652ce834ed724456511798ce60314cab9a
serialver.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,28d33acdf126861940eeca0890b6a97f32cd8a6a632980b79432d100bcc65ba2
sed.exe,sed v0.0.0.0,4,8d54e322dfc3faa60f0464691aba8634197406e53367aa8942409181c0808be8
sdiff.exe,sdiff v0.0.0.0,4,1ebf31bdfe552d728c940866ffb0753a745e9699b69c79013d8766242d6714a6
scalar.exe,Git v2.53.0.3,6,6338d76fb8584b3c01acd3e54894a18acdc4991e27cb0ef38bc813048be0426c
rmiregistry.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,cbd5703bfe351c5e65e5ef9c391f2e3d604cadbb961e3fa80d2491968f85ad61
rmdir.exe,rmdir v0.0.0.0,4,7d91cc7b4e7a297a74dcdb621ff19b495db14a8a96612a737fc870403fc6775c
rm.exe,rm v0.0.0.0,4,a845f7517a49b49726e056da8a8f65a6d9ce96fbe79c3664c082521eea0f80e7
RevoUninPro.exe,Revo Uninstaller Pro v5.5.0.0,12,f148051b0fbf4ff29990742a960c34c3eb9ab0bea952881fcc1018ea026f2588
RevoAppBar.exe,Revo Uninstaller Pro v1.3.5.0,8,db119a9c1bf8c61269f6bcdf7cd329e86a45f7f0f9e0fe785fecda5f8af299be
RenderDocHost.exe,RenderDocHost v0.0.0.0,3,b54ba110eab6bc0490d185fc5b90a24cd88917fee8f01c9daad68bdb001ab26b
readlink.exe,readlink v0.0.0.0,4,3617334c256348026305e7a978bb803c45c31e2f4d24c763e1f11361ceb1d58c
pwd.exe,pwd v0.0.0.0,4,d1281cecce65fc76750381698faca130216ffacc6396886d63a85ad28a3071aa
psl.exe,psl v0.0.0.0,6,68e81ce966ca0c016bb638d0d29b106a0da7eab2ddf70438d8182fa89baf5d78
printf_ngettext.exe,GNU gettext utilities v1.0,3,5afcedcc8d791ccce1a5a1b2b53520007cd8c58a6b0c814b46d3a0aab2b87d23
printf_gettext.exe,GNU gettext utilities v1.0,3,8c641d2265ccc2a1ba564a7baba279d9b3019aa34f5421e1320a3e678120af89
printf.exe,printf v0.0.0.0,4,dbc52ee41a9d2fc4cdad6d690e430c6b630ce5fb5837d66d6b47cf59ea63b198
pluginviewer.exe,pluginviewer v0.0.0.0,3,ea0be557d1d24fc2f626792e6ee9944571a5bba58d8d7a4042699fdab3a8e1ed
platform_experience_helper.exe,Google Chrome v150.0.7871.0,6,1fae7d654695f7c4e0f4bb8a42a4c33137652effc360b998708c6ffcac1380e6
pgomgr.exe,Microsoft® Visual Studio® v14.44.35219.0,4,7dd64ea79dae13e63be99133b52e88a8ebd869f08b70994c9a6a587181a66a20
pgocvt.exe,Microsoft® Visual Studio® v14.44.35219.0,4,401d6c25a06df63fbc4e729e6275909e77f67a84ce46e7f1be7116ac8eef2c52
pathchk.exe,pathchk v0.0.0.0,4,36afccc7251e0b1a5b2a7c54fe022d13a122c2479028b0f01e653084e79281e9
mv.exe,mv v0.0.0.0,4,0e990f9314e17eaf2eed168561313e0b6e1d21daf8fb6400387026c6da7277a1
msvsmon.exe,Microsoft® Visual Studio® v18.5.10309.885011709.182,4,
mspdbsrv.exe,Microsoft® Visual Studio® v14.50.35729.0,3,
msedgewebview2.exe,Microsoft Edge WebView2 v148.0.3967.96,33,e25226852835df592c11601b55e3b1e41c1308c07a395e298238d8a7365c1735
msedge.exe,Microsoft Edge v148.0.3967.96,33,a0806567fa2e180cbb281e8f47d15b316527bdd58165f60769fb46bff91ec565
mscopilot.exe,Copilot v148.0.3967.96,33,bdd7dcf5063982c28ace299035675a6b96de68bda936bbfcc68bd9562f45dd45
mktemp.exe,mktemp v0.0.0.0,4,bd6474b0404e52b195296438342f38e510fe1a4c1c0d91ceb83cf8411959fecb
mkdir.exe,mkdir v0.0.0.0,4,fc9b9e49fd6496cdddfc5681208d74bd649ac934818eafdfd50a9571bdcb4861
ls.exe,ls v0.0.0.0,4,b45981580702029cfeeffc8ca69e2a4d1e9c68914009e94c31ffec9cbc544aa5
link.exe,Microsoft® Visual Studio® v14.44.35226.0,2,e388eb34fe4d280633609f6acec12a3e73c288f8b69ce402c3d24c0d0f5524f3
ktab.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,851134651a1ab48bd9a9f9512b4dd0ee6ad7437be07451939a5e3939703320a3
klist.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,1832f2c19297fc374270bc7764522688b264f88056c5d927dade18b390a567d8
kinit.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,5329f60f30efaa4648e90c5bdc46e78cdf27c347a65a7eee0415be935b9e3156
keytool.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,a5fad3d78a6c7592176718cb852aa46839dc72d131400f00e534dcb2b1d525ee
jwebserver.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,5a6eca9994e99d69caec044583792b6d15eb6b083d4a549f29afff88dcfbe812
jstat.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,928b15876cc522f66440d020be148c91a53025cb5ff191bf7065be994c5763a8
jstack.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,cfd51c3a24c964488aad7bdcdfc53201a40b9da65182bd5845b358facb906cfc
jrunscript.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,282ec823882c4d4707b48673b820ba031af668dac316997174693a544747a562
jps.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,aae5e7d8e54e9726361416d84f83177643a48195a48287dcb7fdb9aff978d120
jmap.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,182534b7178b1b605197c2b7c0d99d50eac5acd88f4dd2cc2e4f824d45df4313
jinfo.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,74bbdffefd9d4dcea166a72e2e8d5c9eb19d7c2cfbbe0dd1219dd97a306842f9
jhsdb.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,ed284db5ec45e4d71a69898731b7be938e2599e54e845a86efd997a97e969fa6
jfr.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,00df70d2b9cdd198daf62a521533eda5c82ded4389a26f2bcfaa77c8d64d33ed
jdb.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,296e62d07c7e0f3aa73cde5187347d36a1a657857856460c9f5fb3097ae4b653
jcmd.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,c366808f856fe2936c072d42c10e3788ff67f0b03e3669c581c390fe95d8561f
javaw.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,1e75fd701998008590a79fb60f57c6111ff3c6a3a23b584f061df96f17cdf6ff
