evidence_id,family,indicator,type,first_seen,provenance,confidence,independently_verified,source_url,retrieval_date_utc,notes,status_label
RAP-IND-0001,Rapuncel,ea8c31a86fa785ab514022c278a2f6e571c86aac9283745a96605c44d88382d6,sha256,unspecified,PRIMARY-SOURCE,High,false,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-19T18:07:48Z,vsdbg.dll NativeAOT loader | NOT OBSERVED by ETW — primary-source only. Seed corpus alias RAP-EV-0001 in executive pass; ETW uses RAP-IND-* to avoid collision with Phase1 publication RAP-EV-*.,HIGH_CONFIDENCE_MALICIOUS
RAP-IND-0002,Rapuncel,aefbc6e04320e9a0e80f2323f8a897c4fdb222a37b0b87d76e850109decbfadd,sha256,unspecified,PRIMARY-SOURCE,High,false,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-19T18:07:48Z,Rapuncel stealer | NOT OBSERVED by ETW — primary-source only.,HIGH_CONFIDENCE_MALICIOUS
RAP-IND-0003,Rapuncel,611b3ba687b7f46319a19609605ddfe5225e6d85277d8e923eea3fdb6f7b5b61,sha256,unspecified,PRIMARY-SOURCE,High,false,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-19T18:07:48Z,Alinubx.sys | NOT OBSERVED by ETW — primary-source only.,HIGH_CONFIDENCE_MALICIOUS
RAP-IND-0004,Rapuncel,75018b06c7105a1dca391805d17b402aed35ebd515b92d461236eafbd606cb40,sha256,unspecified,PRIMARY-SOURCE,High,false,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-19T18:07:48Z,browser injection DLL | NOT OBSERVED by ETW — primary-source only.,HIGH_CONFIDENCE_MALICIOUS
RAP-IND-0005,Rapuncel,26db14b956e33f69b3397a36387d32e01eb63613acff91069dc76b6ed7de45a8,sha256,unspecified,PRIMARY-SOURCE,High,false,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-19T18:07:48Z,ProtectR3.dll x64 unpacked | NOT OBSERVED by ETW — primary-source only.,CAMPAIGN_ASSOCIATED
RAP-IND-0006,Rapuncel,5f0cfe8357bb52b45068ddbac053e32bc38e6cb5e086746f5402657b0a5cfb1c,sha256,unspecified,PRIMARY-SOURCE,High,false,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-19T18:07:48Z,CcProtect reference sample | NOT OBSERVED by ETW — primary-source only.,CAMPAIGN_ASSOCIATED
RAP-IND-0007,Rapuncel,albinofennel.com,domain,unspecified,PRIMARY-SOURCE,High,false,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-19T18:07:48Z,primary payload server (LastPass/Delphos). DoH 2026-09-19 NXDOMAIN (RAP-CLAIM-0038) — DNS fact only; not permanent takedown proof.,CAMPAIGN_ASSOCIATED
RAP-IND-0008,Rapuncel,hanselarinmusky.com,domain,unspecified,PRIMARY-SOURCE,High,false,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-19T18:07:48Z,payload server | NOT OBSERVED by ETW — primary-source only.,CAMPAIGN_ASSOCIATED
RAP-IND-0009,Rapuncel,icansamyope.com,domain,unspecified,PRIMARY-SOURCE,High,false,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-19T18:07:48Z,secondary payload server | NOT OBSERVED by ETW — primary-source only.,CAMPAIGN_ASSOCIATED
RAP-IND-0010,Rapuncel,istatlmenus.com,domain,unspecified,PRIMARY-SOURCE,High,false,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-19T18:07:48Z,dynamic traffic director | NOT OBSERVED by ETW — primary-source only.,CAMPAIGN_ASSOCIATED
RAP-IND-0011,Rapuncel,macperformancetools.com,domain,unspecified,PRIMARY-SOURCE,High,false,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-19T18:07:48Z,terminal domain | NOT OBSERVED by ETW — primary-source only.,HISTORICAL
RAP-IND-0012,Rapuncel,zaffersnouty.com,domain,unspecified,PRIMARY-SOURCE,High,false,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-19T18:07:48Z,terminal domain | NOT OBSERVED by ETW — primary-source only.,HISTORICAL
RAP-IND-0013,Rapuncel,ryanpresbrey.cc,domain,unspecified,PRIMARY-SOURCE,Moderate,false,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-19T18:07:48Z,clustering lead | NOT OBSERVED by ETW — primary-source only.,SUSPICIOUS
RAP-IND-0014,Rapuncel,2.26.126.50,ipv4,unspecified,PRIMARY-SOURCE,High,false,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-19T18:07:48Z,Rapuncel /upload exfil | NOT OBSERVED by ETW — primary-source only.,HIGH_CONFIDENCE_MALICIOUS
RAP-IND-0015,Rapuncel,104.21.27.38,ipv4,unspecified,PRIMARY-SOURCE,Moderate,false,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-19T18:07:48Z,Cloudflare-fronted mapping — low specificity | NOT OBSERVED by ETW — primary-source only.,HISTORICAL
RAP-IND-0016,Rapuncel,172.67.168.224,ipv4,unspecified,PRIMARY-SOURCE,Moderate,false,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,2026-09-19T18:07:48Z,Cloudflare-fronted mapping — low specificity | NOT OBSERVED by ETW — primary-source only.,HISTORICAL
