family,indicator_type,value,asn,org,registrar,registrant,country,created,contact_emails,network_name,summary,caveat
countloader,domain,app-updater.app,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
countloader,domain,ms-team-ping2.com,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
countloader,domain,ms-team-connect2.com,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
mayberobot,domain,southprovesolutions.com,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
norobot,domain,inspectguarantee.org,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
norobot,domain,captchanom.top,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
norobot,domain,viewerdoconline.com,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
norobot,domain,documentsec.com,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
yesrobot,domain,system-healthadv.com,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
yesrobot,ip,85.239.52.32,,Admin; lir-ru-llctelart-1-MNT; LLC Telart; RIPE-NCC-HM-MNT; ORG-NCC1-RIPE; Abuse-C Role,,,RU,,,RU-LLCTELART-20050616,netname:        RU-LLCTELART-20050616 | country:        RU | org-name:       LLC Telart | country:        RU,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
tsunderebot,ip,94.159.113.37,AS216334,Network department; NHT-MNT; New Hosting Technologies LLC; Abuse contact role object,,,RU,,,RU-MSK-landvps,netname:        RU-MSK-landvps | country:        RU | org-name:       New Hosting Technologies LLC | country:        RU | origin:         AS216334,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
phantomheart,ip,195.133.32.213,AS214822,interlir-mnt; MT FINANCE LLC; RU VDS Support; Abuse-C Role,,,RU,,,OK-MSK-RU-RUVDS,netname:        OK-MSK-RU-RUVDS | country:        RU | org-name:       MT FINANCE LLC | origin:         AS214822,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
