evidence_id,family,indicator,type,first_seen,provenance,confidence,independently_verified,source_url,retrieval_date_utc,notes,status_label
ABY-IND-0001,Abyssos,52b400c5be1557a8df146f62fde76d906e7e0a92ed76788717ef61c758f315aa,sha256,2026-06/2026-08,PRIMARY-SOURCE,High,false,https://www.zscaler.com/blogs/security-research/abyssos-technical-analysis-new-modular-rat,2026-09-20T02:15:00Z,Abyssos sample version 2.4F (Zscaler ThreatLabz). NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
ABY-IND-0002,Abyssos,ca94d95413210a2a325155740eb8a5c58627ad5c4e704478621e7fc8165fe173,sha256,2026-06/2026-08,PRIMARY-SOURCE,High,false,https://www.zscaler.com/blogs/security-research/abyssos-technical-analysis-new-modular-rat,2026-09-20T02:15:00Z,Abyssos sample version 2.1F (Zscaler ThreatLabz). NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
ABY-IND-0003,Abyssos,213.145.86.42,ipv4,2026-06/2026-08,PRIMARY-SOURCE,High,false,https://www.zscaler.com/blogs/security-research/abyssos-technical-analysis-new-modular-rat,2026-09-20T02:15:00Z,Abyssos C2 (Zscaler). Defanged in article as 213[.]145.86.42. NOT OBSERVED ownership by ETW. No live C2 contact.,CAMPAIGN_ASSOCIATED
ABY-IND-0004,Abyssos,209.99.184.223,ipv4,2026-06/2026-08,PRIMARY-SOURCE,High,false,https://www.zscaler.com/blogs/security-research/abyssos-technical-analysis-new-modular-rat,2026-09-20T02:15:00Z,Abyssos C2 (Zscaler). Defanged in article as 209[.]99.184.223. NOT OBSERVED ownership by ETW. No live C2 contact.,CAMPAIGN_ASSOCIATED
ABY-IND-0005,Abyssos,windows_update_cache.json,filename,2026-06/2026-08,PRIMARY-SOURCE,High,false,https://www.zscaler.com/blogs/security-research/abyssos-technical-analysis-new-modular-rat,2026-09-20T02:15:00Z,Keylogger log path under Windows TEMP (KEYLOGGER_GETLOGS).,CAMPAIGN_ASSOCIATED
ABY-IND-0006,Abyssos,%TEMP%\fontconfigs,path,2026-06/2026-08,PRIMARY-SOURCE,High,false,https://www.zscaler.com/blogs/security-research/abyssos-technical-analysis-new-modular-rat,2026-09-20T02:15:00Z,HVNC_CLONE_START / GRABCOOKIES browser clone directory incl. cookies.json.,CAMPAIGN_ASSOCIATED
ABY-IND-0007,Abyssos,1234567890abcdef,crypto_constant,2026-06/2026-08,PRIMARY-SOURCE,High,false,https://www.zscaler.com/blogs/security-research/abyssos-technical-analysis-new-modular-rat,2026-09-20T02:15:00Z,Module XOR key and AES-CBC key/IV for several downloadable modules (Zscaler).,CAMPAIGN_ASSOCIATED
ABY-IND-0008,Abyssos,Global\68AA60E5-6C45-4C01-9F0E-E25FC57C652F,mutex,2026-06/2026-08,PRIMARY-SOURCE,High,false,https://www.zscaler.com/blogs/security-research/abyssos-technical-analysis-new-modular-rat,2026-09-20T02:15:00Z,Example mutex format Global\[UUID4] (+ _Admin/_User). Sample-specific UUID may vary.,CAMPAIGN_ASSOCIATED
ABY-IND-0009,Abyssos,HELLO|%s|%s|%s|%s|%s|v2.4F|%s|%s|%s,string,2026-06/2026-08,PRIMARY-SOURCE,High,false,https://www.zscaler.com/blogs/security-research/abyssos-technical-analysis-new-modular-rat,2026-09-20T02:15:00Z,Host registration format string for version 2.4F (AES-GCM custom TCP).,CAMPAIGN_ASSOCIATED
ABY-IND-0010,Abyssos,Win64.PWS.Abyssos,detection_name,2026-08-10,PRIMARY-SOURCE,High,false,https://www.zscaler.com/blogs/security-research/abyssos-technical-analysis-new-modular-rat,2026-09-20T02:15:00Z,Zscaler coverage threat name.,CAMPAIGN_ASSOCIATED
