indicator,type,first_seen,source,confidence,family,status,notes,case
42add9475e67a1ccc6a6af94b5475d3defc01b85,sha1,2024/2026,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,Modified FFmpeg DLL (SHA1) NOT OBSERVED by ETW.,argamal
edce72f59e4c1d136cd1946af70d334c19df858d,sha1,2024/2026,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,natives2_blob.bin / Trojan downloader (SHA1) NOT OBSERVED by ETW.,argamal
76253fb55aed707440e808ea78e7101318436b1c,sha1,2024/2026,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,RAT payload (SHA1) NOT OBSERVED by ETW.,argamal
1405a3c5e0aeb08012484134e16cdec4ab29b4a4,sha1,2024/2026,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,RAT payload (SHA1) NOT OBSERVED by ETW.,argamal
535f4337f261b6da20a3c614eb13270bed2d533a,sha1,2024/2026,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,RAT payload (SHA1) NOT OBSERVED by ETW.,argamal
d2cb0d7a9ad2b5d4ea7c2da8aec62beb37cf36d6,sha1,2024/2026,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,RAT payload (SHA1) NOT OBSERVED by ETW.,argamal
9803604ec45f31f9ef75bcca1e1310d8ac1fc3a6,sha1,2024/2026,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,Trojan downloader (SHA1) NOT OBSERVED by ETW.,argamal
02819d200d1424882af81cb504b3e8614b32397a,sha1,2024/2026,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,Trojan downloader (SHA1) NOT OBSERVED by ETW.,argamal
asper1.freeddns.org,domain,2024/2026,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,Early-version default C2 NOT OBSERVED by ETW.,argamal
Winst0.kozow.com,domain,2024/2026,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,Latest-version default C2 NOT OBSERVED by ETW.,argamal
country1.ignorelist.com,domain,2024/2026,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,Associated infrastructure domain NOT OBSERVED by ETW.,argamal
186.158.223.35,ipv4,2024/2026,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,Shared C2 resolution (Kaspersky infrastructure table) NOT OBSERVED by ETW.,argamal
