hash,hash_type,source,confidence,family,status,notes
42add9475e67a1ccc6a6af94b5475d3defc01b85,sha1,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,Modified FFmpeg DLL (SHA1) NOT OBSERVED by ETW.
edce72f59e4c1d136cd1946af70d334c19df858d,sha1,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,natives2_blob.bin / Trojan downloader (SHA1) NOT OBSERVED by ETW.
76253fb55aed707440e808ea78e7101318436b1c,sha1,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,RAT payload (SHA1) NOT OBSERVED by ETW.
1405a3c5e0aeb08012484134e16cdec4ab29b4a4,sha1,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,RAT payload (SHA1) NOT OBSERVED by ETW.
535f4337f261b6da20a3c614eb13270bed2d533a,sha1,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,RAT payload (SHA1) NOT OBSERVED by ETW.
d2cb0d7a9ad2b5d4ea7c2da8aec62beb37cf36d6,sha1,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,RAT payload (SHA1) NOT OBSERVED by ETW.
9803604ec45f31f9ef75bcca1e1310d8ac1fc3a6,sha1,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,Trojan downloader (SHA1) NOT OBSERVED by ETW.
02819d200d1424882af81cb504b3e8614b32397a,sha1,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,Trojan downloader (SHA1) NOT OBSERVED by ETW.
17f8f8f34dfa737f36182fed7ff9e9814a114058,sha1,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,Kaspersky Securelist Argamal PRIMARY SHA-1 NOT OBSERVED by ETW.
2423a5bf0fa7cb9ec09211630a5488629499691b,sha1,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,Kaspersky Securelist Argamal PRIMARY SHA-1 NOT OBSERVED by ETW.
29f1d346a6e71774c7dad25b90f446b2974393df,sha1,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,Kaspersky Securelist Argamal PRIMARY SHA-1 NOT OBSERVED by ETW.
5f1f3689bcf23de1b280b5f35712946da0f7978f,sha1,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,Kaspersky Securelist Argamal PRIMARY SHA-1 NOT OBSERVED by ETW.
69331cfdac792dc79240e6a6bb6e803eabd70beb,sha1,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,Kaspersky Securelist Argamal PRIMARY SHA-1 NOT OBSERVED by ETW.
901cfa97b1baaf908fd4a02bb52d970f576c4193,sha1,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,Kaspersky Securelist Argamal PRIMARY SHA-1 NOT OBSERVED by ETW.
954722b0c9c678b1313d1f8b204e102842dc5889,sha1,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,Kaspersky Securelist Argamal PRIMARY SHA-1 NOT OBSERVED by ETW.
ae4601a19d28332a3ec6ac31b385cdf53be53450,sha1,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,Kaspersky Securelist Argamal PRIMARY SHA-1 NOT OBSERVED by ETW.
c2d9d48b3b10bd58cdf5df9463e3ffcd60533ff3,sha1,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,Kaspersky Securelist Argamal PRIMARY SHA-1 NOT OBSERVED by ETW.
dad26f61da7b8bccc78364411812be74c025b475,sha1,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,Kaspersky Securelist Argamal PRIMARY SHA-1 NOT OBSERVED by ETW.
e05f1767c2a337910ed75e90288838d6d0541164,sha1,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,Kaspersky Securelist Argamal PRIMARY SHA-1 NOT OBSERVED by ETW.
e815a9b418d09c2d4bcd074c2c0bc21406eeb22f,sha1,https://securelist.com/argamal-rat-distributed-with-hentai-games/119999/,High,argamal,PRIMARY,Kaspersky Securelist Argamal PRIMARY SHA-1 NOT OBSERVED by ETW.
