indicator_id,type,value,notes,source
DOH-IND-0001,sha256,54e18978c6405f56cd59ba55a62291436639f21cf325ae509f0599b15e8f7f53,Dohdoor sample,Cisco Talos Dohdoor IoC freeze (github-ioc/dohdoor.txt)
DOH-IND-0002,sha256,0bb130b1fafb17705d31fe5dd25e7b2d62176578609d75cc57911ef5582ef17a,Dohdoor sample,Cisco Talos Dohdoor IoC freeze (github-ioc/dohdoor.txt)
DOH-IND-0003,sha256,54545fa3a2d8da6746021812ebaa9d26f33bba4f63c6f7f35caa6fa4ee8c0e6a,Dohdoor sample,Cisco Talos Dohdoor IoC freeze (github-ioc/dohdoor.txt)
DOH-IND-0004,sha256,8e97c677aec905152f8a92fed50bb84ef2e8985d5c29330c5a05a4a2afcbd4a5,Dohdoor sample,Cisco Talos Dohdoor IoC freeze (github-ioc/dohdoor.txt)
DOH-IND-0005,sha256,800faaf15d5f42f2ab2c1d2b6b65c8a9e4def6dc10f6ce4e269dcf23f4e8dae2,Dohdoor sample,Cisco Talos Dohdoor IoC freeze (github-ioc/dohdoor.txt)
DOH-IND-0006,sha256,b1bd8f7d4488977cca03954a57f5c8ad7bfd4609bcc3bae92326830fcbd3232c,Dohdoor sample,Cisco Talos Dohdoor IoC freeze (github-ioc/dohdoor.txt)
DOH-IND-0007,sha256,2ce3e75997f89b98dd280d164a5f21f7565f4de26eed61243badde04b480700e,Dohdoor sample,Cisco Talos Dohdoor IoC freeze (github-ioc/dohdoor.txt)
DOH-IND-0008,domain,cjitdrpwnna.mswinsoftupdload.design,Dohdoor DoH domain,Cisco Talos Dohdoor IoC freeze (github-ioc/dohdoor.txt)
DOH-IND-0009,domain,lbandugzcfg.deepinspectionsystem.online,Dohdoor DoH domain,Cisco Talos Dohdoor IoC freeze (github-ioc/dohdoor.txt)
DOH-IND-0010,domain,lsypdqgxredfpx.mswinsoftupdload.design,Dohdoor DoH domain,Cisco Talos Dohdoor IoC freeze (github-ioc/dohdoor.txt)
DOH-IND-0011,domain,yhdjtylnsmwvuu.deepinspectionsystem.online,Dohdoor DoH domain,Cisco Talos Dohdoor IoC freeze (github-ioc/dohdoor.txt)
DOH-IND-0012,domain,sdxsiol.pnuisckmhwagzvdyjrlbeft.software,Dohdoor DoH domain,Cisco Talos Dohdoor IoC freeze (github-ioc/dohdoor.txt)
DOH-IND-0013,domain,ezqrvkfgejwctdnc.pnuisckmhwagzvdyjrlbeft.software,Dohdoor DoH domain,Cisco Talos Dohdoor IoC freeze (github-ioc/dohdoor.txt)
DOH-IND-0014,domain,txjiqslrrig.mswinsoftupdload.design,Dohdoor DoH domain,Cisco Talos Dohdoor IoC freeze (github-ioc/dohdoor.txt)
DOH-IND-0015,domain,qhtckzbxtkdvyr.mswinsoftupdload.design,Dohdoor DoH domain,Cisco Talos Dohdoor IoC freeze (github-ioc/dohdoor.txt)
DOH-IND-0016,domain,gitkzxd.pnuisckmhwagzvdyjrlbeft.software,Dohdoor DoH domain,Cisco Talos Dohdoor IoC freeze (github-ioc/dohdoor.txt)
DOH-IND-0017,domain,gppiwogwndiakkdu.pnuisckmhwagzvdyjrlbeft.software,Dohdoor DoH domain,Cisco Talos Dohdoor IoC freeze (github-ioc/dohdoor.txt)
