value,type,first_seen,last_seen,source,confidence,campaign_association,status,notes,case_id
02cce1811ed8ac074b211717e404fbadffa91b0881627e090da97769f616c434,sha256,,,Zscaler ThreatLabz,High,kkrat,CAMPAIGN ASSOCIATED,first-stage EXE,kkrat
003998d12e3269286df1933c1d9f8c95ab07c74fa34e31ce563b524e22bb7401,sha256,,,Zscaler ThreatLabz,High,kkrat,CAMPAIGN ASSOCIATED,second-stage shellcode,kkrat
71ca5dd59e90ec83518f9b33b2a8cdb6a0d6ad4c87293b27885fa2a8e8e07f1c,sha256,,,Zscaler ThreatLabz,High,kkrat,CAMPAIGN ASSOCIATED,third-stage downloader,kkrat
a0f70c9350092b31ae77fc0d66efa007ccacbbc4b9355c877c1f64b29012178c,sha256,,,Zscaler ThreatLabz,High,kkrat,CAMPAIGN ASSOCIATED,sideloaded DLL,kkrat
f557a90c1873eeb7f269ae802432f72cc18d5272e13f86784fdc3c38cbaca019,sha256,,,Zscaler ThreatLabz,High,kkrat,CAMPAIGN ASSOCIATED,kkRAT payload,kkrat
140426a92c3444d8dc5096c99fa605fd46cb788393c6522c65336d93cb53c633,sha256,,,Zscaler ThreatLabz,High,kkrat,CAMPAIGN ASSOCIATED,campaign sample,kkrat
181b04d6aea27f4e981e22b66a4b1ac778c5a84d48160f7f5d7c75dffd5157f8,sha256,,,Zscaler ThreatLabz,High,kkrat,CAMPAIGN ASSOCIATED,campaign sample,kkrat
35385ab772ebcc9df30507fd3f2a544117fb6f446437c948e84a4fdf707f8029,sha256,,,Zscaler ThreatLabz,High,kkrat,CAMPAIGN ASSOCIATED,campaign sample,kkrat
youdaoselw.icu,domain,,,Zscaler ThreatLabz,High,kkrat,CAMPAIGN ASSOCIATED,phishing installer mimic,kkrat
kmhhla.top,domain,,,Zscaler ThreatLabz,High,kkrat,CAMPAIGN ASSOCIATED,phishing,kkrat
154.44.30.27,ip,,,Zscaler ThreatLabz,High,kkrat,CAMPAIGN ASSOCIATED,kkRAT C2 :8250,kkrat
http://key2025.oss-cn-hongkong.aliyuncs.com/2025.bin,url,,,Zscaler ThreatLabz,High,kkrat,CAMPAIGN ASSOCIATED,stage3,kkrat
http://key2025.oss-cn-hongkong.aliyuncs.com/trx38.zip,url,,,Zscaler ThreatLabz,High,kkrat,CAMPAIGN ASSOCIATED,DLL zip,kkrat
