indicator,type,first_seen,source,confidence,family,status,notes,case
http://binclloudapp.com/466943,url,2025/2026,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,High,matanbuchus,PRIMARY,ClickFix MSI delivery URL (Huntress) NOT OBSERVED by ETW.,matanbuchus
https://marle.io/check/updprofile.aspx,url,2025/2026,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,High,matanbuchus,PRIMARY,Matanbuchus C2 — encrypted main module NOT OBSERVED by ETW.,matanbuchus
www.ndibstersoft.com,domain,2025/2026,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,High,matanbuchus,PRIMARY,AstarionRAT C2 host NOT OBSERVED by ETW.,matanbuchus
/intake/organizations/events?channel=app,string,2025/2026,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,High,matanbuchus,PRIMARY,AstarionRAT beacon polling path NOT OBSERVED by ETW.,matanbuchus
de81e2155d797ff729ed3112fd271aa2728e75fc71b023d0d9bb0f62663f33b3,sha256,2025/2026,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,High,matanbuchus,PRIMARY,INFO encrypted shellcode NOT OBSERVED by ETW.,matanbuchus
6ffae128e0dbf14c00e35d9ca17c9d6c81743d1fc5f8dd4272a03c66ecc1ad1f,sha256,2025/2026,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,High,matanbuchus,PRIMARY,SystemStatus.dll Matanbuchus 3.0 loader NOT OBSERVED by ETW.,matanbuchus
68858d3cbc9b8abaed14e85fc9825bc4fffc54e8f36e96ddda09e853a47e3e31,sha256,2025/2026,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,High,matanbuchus,PRIMARY,jli.dll stage-2 loader NOT OBSERVED by ETW.,matanbuchus
03c624d251e9143e1c8d90ba9b7fa1f2c5dc041507fd0955bdd4048a0967a829,sha256,2025/2026,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,High,matanbuchus,PRIMARY,SySUpd XOR-encrypted Lua script NOT OBSERVED by ETW.,matanbuchus
8e54cd12591d67dfbe72e94c1bde6059e1cba157e6786aec63f8f9e3c71fb925,sha256,2025/2026,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,High,matanbuchus,PRIMARY,Reflective PE loader NOT OBSERVED by ETW.,matanbuchus
c31c8edbf94c85cc9bc46a5665c45a3556c48d5ad615c0a44e14e5406d80df12,sha256,2025/2026,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,High,matanbuchus,PRIMARY,Stage 1 payload NOT OBSERVED by ETW.,matanbuchus
eecc83add16f3d513a9701e9a646b1885014229ac6f86addd6b10afb64d1d2af,sha256,2025/2026,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,High,matanbuchus,PRIMARY,Beacon.exe / AstarionRAT NOT OBSERVED by ETW.,matanbuchus
ea378496135318ac5ad667a032fa4a9686add9d27fe4a7c549c937611b5099e5,sha256,2025/2026,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,High,matanbuchus,PRIMARY,Updprofile.aspx Matanbuchus core module NOT OBSERVED by ETW.,matanbuchus
%LOCALAPPDATA%\Temp\ndvyxgdriggmarrf,path,2025/2026,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,High,matanbuchus,PRIMARY,Stage-2 DLL sideloading package drop path NOT OBSERVED by ETW.,matanbuchus
binclloudapp.com,domain,2025/2026,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,High,matanbuchus,PRIMARY,ClickFix MSI delivery domain (created 2026-02-05 per Huntress) NOT OBSERVED by ETW.,matanbuchus
192.121.23.146,ipv4,2025/2026,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,High,matanbuchus,PRIMARY,binclloudapp.com resolution (M247 AS9009) per Huntress NOT OBSERVED by ETW.,matanbuchus
94.159.113.33,ipv4,2025-07,https://www.morphisec.com/blog/ransomware-threat-matanbuchus-3-0-maas-levels-up/,High,matanbuchus,PRIMARY,Morphisec Matanbuchus 3.0 Teams campaign infra (fixuplink.com) NOT OBSERVED by ETW. Distinct from Huntress ClickFix chain.,matanbuchus
