indicator,type,first_seen,source,confidence,family,status,notes,case
10fd541674adadfbba99b54280f7e59732746faf2b10ce68521866f737f1e46d,sha256,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,Check Point MiniFast / Nimbus Manticore campaign sample NOT OBSERVED by ETW.,minifast
eee657ffdb2af8ed6412221e7d5fbf4f5742f2ac2c88f43f12db46af0697de71,sha256,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,Check Point MiniFast / Nimbus Manticore campaign sample NOT OBSERVED by ETW.,minifast
781605ce9d4a9869e846f6c9657d71437cb6240ab27ffbc4cd550c0e06996690,sha256,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,Check Point MiniFast / Nimbus Manticore campaign sample NOT OBSERVED by ETW.,minifast
2c214494fd0bad31473ca8adce78a4f50847876584571e66aadeae70827ec2dc,sha256,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,Check Point MiniFast / Nimbus Manticore campaign sample NOT OBSERVED by ETW.,minifast
f08b17856616d66492a24dced27f788e235f35f42fa7cd10f315000d3a2f4c03,sha256,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,Check Point MiniFast / Nimbus Manticore campaign sample NOT OBSERVED by ETW.,minifast
a57ffb819fe8d98ff925c5d7b239598fe302acf5a13193d7a535040a71298fdf,sha256,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,Check Point MiniFast / Nimbus Manticore campaign sample NOT OBSERVED by ETW.,minifast
63d0d3c4a7f71bdbca720903d6a99b832089cc093c64d2938e7e001e56c17ab4,sha256,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,Check Point MiniFast / Nimbus Manticore campaign sample NOT OBSERVED by ETW.,minifast
74882085db2088356ed7f72f01e0404a0a98cda88ef56fb15ce74c1f36b26d27,sha256,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,Check Point MiniFast / Nimbus Manticore campaign sample NOT OBSERVED by ETW.,minifast
bc3b44154518c5794ce639108e7b9c5fecb0c189607a26de1aaed518d890c7ad,sha256,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,Check Point MiniFast / Nimbus Manticore campaign sample NOT OBSERVED by ETW.,minifast
ecaf493c320d201d285ef5f61d75744216e47cf1115b4af528f9a78883cc446e,sha256,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,Check Point MiniFast / Nimbus Manticore campaign sample NOT OBSERVED by ETW.,minifast
44f4f7aca7f1d9bfdaf7b3736934cbe19f851a707662f8f0b0c49b383e054250,sha256,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,Check Point MiniFast / Nimbus Manticore campaign sample NOT OBSERVED by ETW.,minifast
0db36a04d304ad96f9e6f97b531934594cd95a5cea9ff2c9af249201089dc864,sha256,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,Check Point MiniFast / Nimbus Manticore campaign sample NOT OBSERVED by ETW.,minifast
business-startup.org,domain,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,C2 / lure domain (Check Point IOC list) NOT OBSERVED by ETW.,minifast
business-startup.azurewebsites.net,domain,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,C2 / lure domain (Check Point IOC list) NOT OBSERVED by ETW.,minifast
businessstartup.azurewebsites.net,domain,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,C2 / lure domain (Check Point IOC list) NOT OBSERVED by ETW.,minifast
buisness-centeral.azurewebsites.net,domain,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,C2 / lure domain (Check Point IOC list) NOT OBSERVED by ETW.,minifast
buisness-centeral-transportation.azurewebsites.net,domain,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,C2 / lure domain (Check Point IOC list) NOT OBSERVED by ETW.,minifast
buisness-centeral-transportation.com,domain,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,C2 / lure domain (Check Point IOC list) NOT OBSERVED by ETW.,minifast
licencemanagers.azurewebsites.net,domain,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,C2 / lure domain (Check Point IOC list) NOT OBSERVED by ETW.,minifast
licencesupporting.azurewebsites.net,domain,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,C2 / lure domain (Check Point IOC list) NOT OBSERVED by ETW.,minifast
peerdistsvcmanagers.azurewebsites.net,domain,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,C2 / lure domain (Check Point IOC list) NOT OBSERVED by ETW.,minifast
nanomatrix.azurewebsites.net,domain,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,C2 / lure domain (Check Point IOC list) NOT OBSERVED by ETW.,minifast
PremierHealthAdvisory.com,domain,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,C2 / lure domain (Check Point IOC list) NOT OBSERVED by ETW.,minifast
ramiltonsfinance.com,domain,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,C2 / lure domain (Check Point IOC list) NOT OBSERVED by ETW.,minifast
getsqldeveloper.com,domain,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,C2 / lure domain (Check Point IOC list) NOT OBSERVED by ETW.,minifast
UpdateChecker.dll,filename,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,Final MiniFast backdoor payload filename NOT OBSERVED by ETW.,minifast
CheckForUpdates,string,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,MiniFast DLL export / entry NOT OBSERVED by ETW.,minifast
ZoomUpdateTaskUser,string,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,Hijacked Zoom scheduled-task persistence prefix NOT OBSERVED by ETW.,minifast
%LOCALAPPDATA%\Zoom\bin\update,path,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,Second-stage staging directory under Zoom path NOT OBSERVED by ETW.,minifast
Zoominstall64.zip,filename,2026-05,https://research.checkpoint.com/2026/fast-and-furious-nimbus-manticore-operations-during-the-iranian-conflict/,High,minifast,PRIMARY,Trojanized Zoom installer archive lure NOT OBSERVED by ETW.,minifast
332ba2f0297dfb1599adecc3e9067893e7cf243aa23aedce4906a4c480574c17,sha256,2026-02/2026-04,https://unit42.paloaltonetworks.com/tracking-iran-apt-screening-serpens/,High,minifast,PRIMARY,Unit 42 MiniUpdate US campaign — Hiring Portal.zip NOT OBSERVED by ETW. (Unit 42 naming; Check Point tracks related UpdateChecker.dll as MiniFast.),minifast
38bd137c672bd58d08c4f0502f993a6561e2c3411773d1ae57ee0151a0a9d11d,sha256,2026-02/2026-04,https://unit42.paloaltonetworks.com/tracking-iran-apt-screening-serpens/,High,minifast,PRIMARY,Unit 42 MiniUpdate Israel campaign initial archive NOT OBSERVED by ETW.,minifast
d4a7e9f107fe40c1a5d0139c6c6e25bf6bf57f61feff090bee28f476bb3cc3c2,sha256,2026-02/2026-04,https://unit42.paloaltonetworks.com/tracking-iran-apt-screening-serpens/,High,minifast,PRIMARY,Unit 42 MiniUpdate Israel UpdateChecker.dll NOT OBSERVED by ETW.,minifast
9cf029daca89523d917dafed0568d11d00e45ec96b5b90b4a1f7fd4018c7da84,sha256,2026-02/2026-04,https://unit42.paloaltonetworks.com/tracking-iran-apt-screening-serpens/,High,minifast,PRIMARY,Unit 42 MiniJunk V2 uevmonitor.dll — sibling family under Screening Serpens; NOT MiniFast payload merge. NOT OBSERVED by ETW.,minifast
B19e06da580cf91691eda066ac9ee4b09c6e5dc26c367af12660fe1f9306eec4,sha256,2026-02/2026-04,https://unit42.paloaltonetworks.com/tracking-iran-apt-screening-serpens/,High,minifast,PRIMARY,Unit 42 MiniJunk V2 unbcl.dll — sibling family. NOT OBSERVED by ETW.,minifast
8808c794c24367438f183e4be941876f1d3ecd0c8d2eb43b10d2380841d2283b,sha256,2026-02/2026-04,https://unit42.paloaltonetworks.com/tracking-iran-apt-screening-serpens/,High,minifast,PRIMARY,Unit 42 MiniJunk V2 US Portable Platform.zip. NOT OBSERVED by ETW.,minifast
43dc62cef52ebdd69e79f10015b3e13890f26c058325c0ff139c70f8d8eadcfa,sha256,2026-02/2026-04,https://unit42.paloaltonetworks.com/tracking-iran-apt-screening-serpens/,High,minifast,PRIMARY,Unit 42 MiniJunk V2 Connection.dll. NOT OBSERVED by ETW.,minifast
9e4a658e6d831c9e9bdfe11884a75b7c64812ed0a80e8495ddf6b316505acac1,sha256,2026-02/2026-04,https://unit42.paloaltonetworks.com/tracking-iran-apt-screening-serpens/,High,minifast,PRIMARY,Unit 42 MiniJunk V2 unbcl.dll (US). NOT OBSERVED by ETW.,minifast
QuantumWeave.azurewebsites.net,domain,2026-02/2026-04,https://unit42.paloaltonetworks.com/tracking-iran-apt-screening-serpens/,High,minifast,PRIMARY,Unit 42 Screening Serpens C2/lure Azure host NOT OBSERVED by ETW.,minifast
