indicator_id,type,value,notes,source
MVP-IND-0001,domain,processplanet.org,staging and C2,ESET malware-ioc GitHub (muddywater)
MVP-IND-0002,domain,magicallyday.com,C2,ESET malware-ioc GitHub (muddywater)
MVP-IND-0003,domain,api.tikavodot.co.il,C2,ESET malware-ioc GitHub (muddywater)
MVP-IND-0004,ip,3.95.7.142,C2,ESET malware-ioc GitHub (muddywater)
MVP-IND-0005,ip,35.175.224.64,C2,ESET malware-ioc GitHub (muddywater)
MVP-IND-0006,ip,51.16.209.105,C2,ESET malware-ioc GitHub (muddywater)
MVP-IND-0007,ip,62.106.66.112,staging,ESET malware-ioc GitHub (muddywater)
MVP-IND-0008,ip,157.20.182.45,staging,ESET malware-ioc GitHub (muddywater)
MVP-IND-0009,ip,161.35.172.55,staging,ESET malware-ioc GitHub (muddywater)
MVP-IND-0010,ip,167.99.224.13,C2,ESET malware-ioc GitHub (muddywater)
MVP-IND-0011,ip,194.11.246.78,C2,ESET malware-ioc GitHub (muddywater)
MVP-IND-0012,ip,194.11.246.101,staging and C2,ESET malware-ioc GitHub (muddywater)
MVP-IND-0013,ip,206.71.149.51,staging,ESET malware-ioc GitHub (muddywater)
MVP-IND-0014,ip,212.232.22.136,C2,ESET malware-ioc GitHub (muddywater)
MVP-IND-0015,sha1,2939FD218E0145D730BD94AA1C76386A5259EACE,Fooder loader w/ MuddyViper (msi.dll),ESET malware-ioc GitHub (muddywater)
MVP-IND-0016,sha1,3BC6502A55A4D5D29132DA4D9943E154A810CC83,Fooder loader w/ MuddyViper,ESET malware-ioc GitHub (muddywater)
MVP-IND-0017,sha1,7950296331802188EB99E232E2C383CB9FDD5D7D,Fooder loader w/ MuddyViper,ESET malware-ioc GitHub (muddywater)
