indicator,type,first_seen,source,confidence,family,status,notes,case
1ea83e4e4592b01e4acab63eb867bee5,md5,unspecified,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Archive Front-Technical-Challenge.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.,noderabbit
cbaaf0900a13f28e380f49adecec932c,md5,unspecified,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Archive FrontEnd-Task.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.,noderabbit
366515822d5ac1cc500711ef57a2e32e,md5,unspecified,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Archive Task-FullStack.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.,noderabbit
cf449f1992c2819e62ac44a0b06ac2e7,md5,unspecified,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Archive fullstack-1536.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.,noderabbit
e95a4366686e3f786ea3c056fab5b0da,md5,unspecified,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Archive webapp76592.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.,noderabbit
de5af16a3757ef700b01dc34d67079ae,md5,unspecified,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Archive webapp76531.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.,noderabbit
be086789568441d0d7e4679aee51f566,md5,unspecified,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Archive challenges-17831.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.,noderabbit
e259c5edf158aac4cfe14f77ddd0b196,md5,unspecified,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Archive challenges-17832.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.,noderabbit
291ac3abe73c5158e59a437b75d5f0aa,md5,unspecified,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Archive Project-1802.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.,noderabbit
0962f56d7ec69f4f2a0162dcbe22116b,md5,unspecified,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Archive Case-34234.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.,noderabbit
