domain,source,confidence,family,status,notes
plugplay.azurewebsites.net,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Azure/Cloudflare-backed C2 context. Shared cloud IP != actor-owned. agent:servers makes lists perishable. NOT OBSERVED by ETW. Alias NOD-EV in seed pass.
rgbteller.azurewebsites.net,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Azure/Cloudflare-backed C2 context. Shared cloud IP != actor-owned. agent:servers makes lists perishable. NOT OBSERVED by ETW. Alias NOD-EV in seed pass.
wslwebui.azurewebsites.net,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Azure/Cloudflare-backed C2 context. Shared cloud IP != actor-owned. agent:servers makes lists perishable. NOT OBSERVED by ETW. Alias NOD-EV in seed pass.
visitfinancedentists.com,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Azure/Cloudflare-backed C2 context. Shared cloud IP != actor-owned. agent:servers makes lists perishable. NOT OBSERVED by ETW. Alias NOD-EV in seed pass.
kyrasey-f8hfexa5cqamh7fk.westeurope-01.azurewebsites.net,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Azure/Cloudflare-backed C2 context. Shared cloud IP != actor-owned. agent:servers makes lists perishable. NOT OBSERVED by ETW. Alias NOD-EV in seed pass.
healthcomfsdpower.com,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Azure/Cloudflare-backed C2 context. Shared cloud IP != actor-owned. agent:servers makes lists perishable. NOT OBSERVED by ETW. Alias NOD-EV in seed pass.
naturalapplication.azurewebsites.net,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Azure/Cloudflare-backed C2 context. Shared cloud IP != actor-owned. agent:servers makes lists perishable. NOT OBSERVED by ETW. Alias NOD-EV in seed pass.
retaildemo.azurewebsites.net,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Azure/Cloudflare-backed C2 context. Shared cloud IP != actor-owned. agent:servers makes lists perishable. NOT OBSERVED by ETW. Alias NOD-EV in seed pass.
tubitak.azurewebsites.net,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Azure/Cloudflare-backed C2 context. Shared cloud IP != actor-owned. agent:servers makes lists perishable. NOT OBSERVED by ETW. Alias NOD-EV in seed pass.
crossdwm.azurewebsites.net,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Azure/Cloudflare-backed C2 context. Shared cloud IP != actor-owned. agent:servers makes lists perishable. NOT OBSERVED by ETW. Alias NOD-EV in seed pass.
wdisystem.azurewebsites.net,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Azure/Cloudflare-backed C2 context. Shared cloud IP != actor-owned. agent:servers makes lists perishable. NOT OBSERVED by ETW. Alias NOD-EV in seed pass.
wslmenus.azurewebsites.net,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Azure/Cloudflare-backed C2 context. Shared cloud IP != actor-owned. agent:servers makes lists perishable. NOT OBSERVED by ETW. Alias NOD-EV in seed pass.
