indicator_id,type,value,notes,source
NSH-IND-0001,ip,118.107.234.26,NosyDownloader C2; www.sslvpnserver.com,ESET malware-ioc GitHub (longnosedgoblin)
NSH-IND-0002,domain,www.sslvpnserver.com,NosyDownloader C2 domain,ESET malware-ioc GitHub (longnosedgoblin)
NSH-IND-0003,ip,103.159.132.30,NosyDownloader C2; www.threadstub.com,ESET malware-ioc GitHub (longnosedgoblin)
NSH-IND-0004,domain,www.threadstub.com,NosyDownloader C2 domain,ESET malware-ioc GitHub (longnosedgoblin)
NSH-IND-0005,ip,101.99.88.113,NosyDownloader C2; www.blazenewso.com,ESET malware-ioc GitHub (longnosedgoblin)
NSH-IND-0006,domain,www.blazenewso.com,NosyDownloader C2 domain,ESET malware-ioc GitHub (longnosedgoblin)
NSH-IND-0007,ip,101.99.88.188,NosyDownloader C2; www.privacypolicy-my.com,ESET malware-ioc GitHub (longnosedgoblin)
NSH-IND-0008,domain,www.privacypolicy-my.com,NosyDownloader C2 domain,ESET malware-ioc GitHub (longnosedgoblin)
NSH-IND-0009,ip,118.107.234.29,ReverseSocks5 server,ESET malware-ioc GitHub (longnosedgoblin)
NSH-IND-0010,ip,38.54.17.131,malware host (possibly Cobalt Strike) — association-only,ESET malware-ioc GitHub (longnosedgoblin)
NSH-IND-0011,sha1,4E3F6E9D0F443F4C42974A0551EEE957B498DA3D,NosyHistorian History.ini,ESET malware-ioc GitHub (longnosedgoblin)
NSH-IND-0012,sha1,CD745BD2636F607CC4FB9389535BF3579321CA72,NosyHistorian History.ini,ESET malware-ioc GitHub (longnosedgoblin)
NSH-IND-0013,sha1,563677CFACD328EA2478836E58A8BD0DF11206A3,NosyHistorian info.txt,ESET malware-ioc GitHub (longnosedgoblin)
