evidence_id,family,indicator,type,first_seen,provenance,confidence,independently_verified,source_url,retrieval_date_utc,notes,status_label
OKO-IND-0001,Okobot,B07D451EE65A1580F20A784C8F0E7A46,md5,2025/2026,PRIMARY-SOURCE,High,false,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,2026-09-20T02:25:00Z,Dispatcher protobuf.dll NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
OKO-IND-0002,Okobot,187A1F68AE786E53D3831166DC84E6D2,md5,2025/2026,PRIMARY-SOURCE,High,false,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,2026-09-20T02:25:00Z,Dispatcher protobuf.dll NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
OKO-IND-0003,Okobot,D84E8DC509308523E0209D3CD3544619,md5,2025/2026,PRIMARY-SOURCE,High,false,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,2026-09-20T02:25:00Z,Dispatcher protobuf.dll NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
OKO-IND-0004,Okobot,83E6B8FCB92A0B13E109301F8FF649CF,md5,2025/2026,PRIMARY-SOURCE,High,false,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,2026-09-20T02:25:00Z,Dispatcher version.dll NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
OKO-IND-0005,Okobot,7306885BB4C98F2A9F056104CF092BC9,md5,2025/2026,PRIMARY-SOURCE,High,false,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,2026-09-20T02:25:00Z,Plugin PowerShell wrapper NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
OKO-IND-0006,Okobot,B4C2E16CDB513BE4DC798F88E2527334,md5,2025/2026,PRIMARY-SOURCE,High,false,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,2026-09-20T02:25:00Z,Plugin CMD wrapper NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
OKO-IND-0007,Okobot,2157D2429124AD28DB7A26F2477CB985,md5,2025/2026,PRIMARY-SOURCE,High,false,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,2026-09-20T02:25:00Z,Plugin environment enumerator NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
OKO-IND-0008,Okobot,77CECF5E2A622AE07D8AE9913457AB57,md5,2025/2026,PRIMARY-SOURCE,High,false,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,2026-09-20T02:25:00Z,Plugin dropper NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
OKO-IND-0009,Okobot,E0C3BC27A65750E740C4F1719E531C7D,md5,2025/2026,PRIMARY-SOURCE,High,false,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,2026-09-20T02:25:00Z,Plugin process injector NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
OKO-IND-0010,Okobot,3D2B43F91F65BFBF36A9C71B6B418876,md5,2025/2026,PRIMARY-SOURCE,High,false,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,2026-09-20T02:25:00Z,Injector ext_daemon.exe NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
OKO-IND-0011,Okobot,70FEF9FD6E351F4D53CFEEE8DCDFCD99,md5,2025/2026,PRIMARY-SOURCE,High,false,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,2026-09-20T02:25:00Z,Injector seedhunter_x64.exe NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
OKO-IND-0012,Okobot,ACD31C9941B6C1CABD4E45E6877B9038,md5,2025/2026,PRIMARY-SOURCE,High,false,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,2026-09-20T02:25:00Z,Injector keylog_x64.dll NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
OKO-IND-0013,Okobot,DD52F5108A176C62AD807C327734AD12,md5,2025/2026,PRIMARY-SOURCE,High,false,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,2026-09-20T02:25:00Z,Injector oko.dll (OkoSpyware) NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
OKO-IND-0014,Okobot,AC93A821617AEA1F56D4BC0BEF4AF327,md5,2025/2026,PRIMARY-SOURCE,High,false,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,2026-09-20T02:25:00Z,SSH bot HDUtil.exe NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
OKO-IND-0015,Okobot,11DBC8A2BEA04B15F8F68F3F01E8FAF9,md5,2025/2026,PRIMARY-SOURCE,High,false,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,2026-09-20T02:25:00Z,SSH bot extl.exe NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
