indicator,type,first_seen,source,confidence,family,status,notes,case
B07D451EE65A1580F20A784C8F0E7A46,md5,2025/2026,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Dispatcher protobuf.dll NOT OBSERVED by ETW.,okobot
187A1F68AE786E53D3831166DC84E6D2,md5,2025/2026,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Dispatcher protobuf.dll NOT OBSERVED by ETW.,okobot
D84E8DC509308523E0209D3CD3544619,md5,2025/2026,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Dispatcher protobuf.dll NOT OBSERVED by ETW.,okobot
83E6B8FCB92A0B13E109301F8FF649CF,md5,2025/2026,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Dispatcher version.dll NOT OBSERVED by ETW.,okobot
7306885BB4C98F2A9F056104CF092BC9,md5,2025/2026,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Plugin PowerShell wrapper NOT OBSERVED by ETW.,okobot
B4C2E16CDB513BE4DC798F88E2527334,md5,2025/2026,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Plugin CMD wrapper NOT OBSERVED by ETW.,okobot
2157D2429124AD28DB7A26F2477CB985,md5,2025/2026,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Plugin environment enumerator NOT OBSERVED by ETW.,okobot
77CECF5E2A622AE07D8AE9913457AB57,md5,2025/2026,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Plugin dropper NOT OBSERVED by ETW.,okobot
E0C3BC27A65750E740C4F1719E531C7D,md5,2025/2026,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Plugin process injector NOT OBSERVED by ETW.,okobot
3D2B43F91F65BFBF36A9C71B6B418876,md5,2025/2026,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Injector ext_daemon.exe NOT OBSERVED by ETW.,okobot
70FEF9FD6E351F4D53CFEEE8DCDFCD99,md5,2025/2026,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Injector seedhunter_x64.exe NOT OBSERVED by ETW.,okobot
ACD31C9941B6C1CABD4E45E6877B9038,md5,2025/2026,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Injector keylog_x64.dll NOT OBSERVED by ETW.,okobot
DD52F5108A176C62AD807C327734AD12,md5,2025/2026,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Injector oko.dll (OkoSpyware) NOT OBSERVED by ETW.,okobot
AC93A821617AEA1F56D4BC0BEF4AF327,md5,2025/2026,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,SSH bot HDUtil.exe NOT OBSERVED by ETW.,okobot
11DBC8A2BEA04B15F8F68F3F01E8FAF9,md5,2025/2026,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,SSH bot extl.exe NOT OBSERVED by ETW.,okobot
2baserec2.guru,domain,2025/2026,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,TookPS staging NOT OBSERVED by ETW.,okobot
recavb22.online,domain,2025/2026,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,TookPS staging NOT OBSERVED by ETW.,okobot
kbeautyreviews.com,domain,2025/2026,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,TookPS staging NOT OBSERVED by ETW.,okobot
coffeesaloon.online,domain,2025/2026,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,TookPS staging NOT OBSERVED by ETW.,okobot
livewallpapers.online,domain,2025/2026,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Volume2 C2 NOT OBSERVED by ETW.,okobot
thatwascringe.com,domain,2025/2026,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Volume2 C2 NOT OBSERVED by ETW.,okobot
moonsand.store,domain,2025/2026,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,SeedHunter C2 NOT OBSERVED by ETW.,okobot
104.243.43.16,ipv4,2025/2026,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,SSH bot infrastructure NOT OBSERVED by ETW.,okobot
