hash,hash_type,source,confidence,family,status,notes
B07D451EE65A1580F20A784C8F0E7A46,md5,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Dispatcher protobuf.dll NOT OBSERVED by ETW.
187A1F68AE786E53D3831166DC84E6D2,md5,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Dispatcher protobuf.dll NOT OBSERVED by ETW.
D84E8DC509308523E0209D3CD3544619,md5,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Dispatcher protobuf.dll NOT OBSERVED by ETW.
83E6B8FCB92A0B13E109301F8FF649CF,md5,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Dispatcher version.dll NOT OBSERVED by ETW.
7306885BB4C98F2A9F056104CF092BC9,md5,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Plugin PowerShell wrapper NOT OBSERVED by ETW.
B4C2E16CDB513BE4DC798F88E2527334,md5,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Plugin CMD wrapper NOT OBSERVED by ETW.
2157D2429124AD28DB7A26F2477CB985,md5,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Plugin environment enumerator NOT OBSERVED by ETW.
77CECF5E2A622AE07D8AE9913457AB57,md5,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Plugin dropper NOT OBSERVED by ETW.
E0C3BC27A65750E740C4F1719E531C7D,md5,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Plugin process injector NOT OBSERVED by ETW.
3D2B43F91F65BFBF36A9C71B6B418876,md5,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Injector ext_daemon.exe NOT OBSERVED by ETW.
70FEF9FD6E351F4D53CFEEE8DCDFCD99,md5,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Injector seedhunter_x64.exe NOT OBSERVED by ETW.
ACD31C9941B6C1CABD4E45E6877B9038,md5,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Injector keylog_x64.dll NOT OBSERVED by ETW.
DD52F5108A176C62AD807C327734AD12,md5,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,Injector oko.dll (OkoSpyware) NOT OBSERVED by ETW.
AC93A821617AEA1F56D4BC0BEF4AF327,md5,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,SSH bot HDUtil.exe NOT OBSERVED by ETW.
11DBC8A2BEA04B15F8F68F3F01E8FAF9,md5,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,SSH bot extl.exe NOT OBSERVED by ETW.
30a7eeb6e5d5c50252dc133806bd1b25,md5,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,PRIMARY freeze MD5 NOT OBSERVED by ETW.
42758747b8592c683aa2b2162019ddfa,md5,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,PRIMARY freeze MD5 NOT OBSERVED by ETW.
755d128c17e6cc3971485b7e018ddb00,md5,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,PRIMARY freeze MD5 NOT OBSERVED by ETW.
37aecaec9ef57f63e1bf6aeb1b3bd5c2ee3a8ee3d32b2721e13c490193b32f1f,sha256,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,PRIMARY freeze SHA-256 NOT OBSERVED by ETW.
a0ed9c326558cfa41560bc38e6045326aa7ef7d9957d4134d394d464e3fdc05e,sha256,https://securelist.com/okobot-framework-targets-cryptocurrency-wallets/120660/,High,okobot,PRIMARY,PRIMARY freeze SHA-256 NOT OBSERVED by ETW.
