indicator_id,type,value,notes,source
PHH-IND-0001,ip,195.133.32.213,C2 / related IP (OpenTIP IoC list),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0002,ip,31.56.227.61,C2 / related IP (OpenTIP IoC list),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0003,ip,31.58.137.197,C2 / related IP (OpenTIP IoC list),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0004,ip,31.56.48.178,C2 / related IP (OpenTIP IoC list),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0005,ip,193.176.153.162,C2 / related IP (OpenTIP IoC list),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0006,ip,188.127.254.233,C2 / related IP (OpenTIP IoC list),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0007,ip,94.183.188.166,C2 / related IP (OpenTIP IoC list),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0008,ip,80.66.81.13,C2 / related IP (OpenTIP IoC list),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0009,ip,213.232.204.111,C2 / related IP (OpenTIP IoC list),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0010,ip,31.56.227.100,C2 / related IP (OpenTIP IoC list),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0011,ip,176.98.189.101,C2 / related IP (OpenTIP IoC list),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0012,ip,178.255.127.65,C2 / related IP (OpenTIP IoC list),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0013,domain,aegissecurity.online,related domain (OpenTIP IoC list),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0014,domain,cryptara.online,related domain (OpenTIP IoC list),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0015,domain,cyvantis.online,related domain (OpenTIP IoC list),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0016,domain,defentry.online,related domain (OpenTIP IoC list),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0017,domain,fortisec.online,related domain (OpenTIP IoC list),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0018,domain,hostinfo-service.info,related domain (OpenTIP IoC list),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0019,domain,infoseon.online,related domain (OpenTIP IoC list),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0020,domain,msnetsec.space,related domain (OpenTIP IoC list),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0021,domain,netvion.online,related domain (OpenTIP IoC list),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0022,domain,optivault.space,related domain (OpenTIP IoC list),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0023,domain,tastehub.online,related domain (OpenTIP IoC list),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0024,domain,unlikeu.org,related domain (OpenTIP IoC list),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0025,domain,vitalock.space,related domain (OpenTIP IoC list),Kaspersky Securelist (PhantomHeart RU freeze)
