indicator_id,type,value,notes,source
PHH-IND-0026,md5,f6fe88cf5674d4d032646e3c5c1a5a01,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0027,md5,137e563355d1d83e822b80956f589bf8,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0028,md5,186f7f0f64358c1affd314be1406225e,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0029,md5,1c66d261808114a48e444666a7baad38,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0030,md5,26d134f56489b7703b403276d75fb016,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0031,md5,54e128b861c5052666a86b470e34c33b,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0032,md5,a484661d7a2897365e07a2d79e4f4d60,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0033,md5,e26aafb5d3fec5dcd8c1aad73cb02414,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0034,md5,02be93f46743ff293644433089a47bbc,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0035,md5,5fe4a4ca52319b97196183a47fb17bf8,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0036,md5,a50b645c933e3c2895397401a0dc46b9,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0037,md5,ad85916797773e3191fd8ab45111f3ef,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0038,md5,b251ffc6665a3f6bb63728be76f2de0c,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0039,md5,23e91b4d5a65403479648dde7c1a92e3,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0040,md5,be6ed8287b22f91d0f8a66e901393d13,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0041,md5,17eb5cc5ef4b7cc6a0d7233af97da29e,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0042,md5,8f72e0dd349bb32a100d19bad260bd2e,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0043,md5,bf73d5f96394bf47d329b848d58bf9fe,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0044,md5,76cdcfea6be9b7172b2c3a5fae59da09,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0045,md5,dc41c9267a636da409bbf60f802b8e62,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0046,md5,5427ba3ef8bd2c4e57b33dd039ce6ea3,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0047,md5,79b11a56618cfb43953b29b71406c1ee,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0048,md5,2dc957cf3f0f6c5c5e6fc865f8bbce42,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0049,md5,29efd64dd3c7fe1e2b022b7ad73a1ba5,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0050,md5,6a58b52b184715583cda792b56a0a1ed,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
PHH-IND-0051,md5,8f1ef9e7ea31b20fa5ebb4e747003b5c,sample hash (OpenTIP),Kaspersky Securelist (PhantomHeart RU freeze)
