indicator,type,first_seen,source,confidence,family,status,notes,case
ea8c31a86fa785ab514022c278a2f6e571c86aac9283745a96605c44d88382d6,sha256,unspecified,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,High,rapuncel,PRIMARY,vsdbg.dll NativeAOT loader | NOT OBSERVED by ETW — primary-source only. Seed corpus alias RAP-EV-0001 in executive pass; ETW uses RAP-IND-* to avoid collision with Phase1 publication RAP-EV-*.,rapuncel
aefbc6e04320e9a0e80f2323f8a897c4fdb222a37b0b87d76e850109decbfadd,sha256,unspecified,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,High,rapuncel,PRIMARY,Rapuncel stealer | NOT OBSERVED by ETW — primary-source only.,rapuncel
611b3ba687b7f46319a19609605ddfe5225e6d85277d8e923eea3fdb6f7b5b61,sha256,unspecified,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,High,rapuncel,PRIMARY,Alinubx.sys | NOT OBSERVED by ETW — primary-source only.,rapuncel
75018b06c7105a1dca391805d17b402aed35ebd515b92d461236eafbd606cb40,sha256,unspecified,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,High,rapuncel,PRIMARY,browser injection DLL | NOT OBSERVED by ETW — primary-source only.,rapuncel
26db14b956e33f69b3397a36387d32e01eb63613acff91069dc76b6ed7de45a8,sha256,unspecified,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,High,rapuncel,PRIMARY,ProtectR3.dll x64 unpacked | NOT OBSERVED by ETW — primary-source only.,rapuncel
5f0cfe8357bb52b45068ddbac053e32bc38e6cb5e086746f5402657b0a5cfb1c,sha256,unspecified,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,High,rapuncel,PRIMARY,CcProtect reference sample | NOT OBSERVED by ETW — primary-source only.,rapuncel
albinofennel.com,domain,unspecified,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,High,rapuncel,PRIMARY,primary payload server (LastPass/Delphos). DoH 2026-09-19 NXDOMAIN (RAP-CLAIM-0038) — DNS fact only; not permanent takedown proof.,rapuncel
hanselarinmusky.com,domain,unspecified,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,High,rapuncel,PRIMARY,payload server | NOT OBSERVED by ETW — primary-source only.,rapuncel
icansamyope.com,domain,unspecified,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,High,rapuncel,PRIMARY,secondary payload server | NOT OBSERVED by ETW — primary-source only.,rapuncel
istatlmenus.com,domain,unspecified,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,High,rapuncel,PRIMARY,dynamic traffic director | NOT OBSERVED by ETW — primary-source only.,rapuncel
macperformancetools.com,domain,unspecified,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,High,rapuncel,PRIMARY,terminal domain | NOT OBSERVED by ETW — primary-source only.,rapuncel
zaffersnouty.com,domain,unspecified,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,High,rapuncel,PRIMARY,terminal domain | NOT OBSERVED by ETW — primary-source only.,rapuncel
ryanpresbrey.cc,domain,unspecified,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,Moderate,rapuncel,PRIMARY,clustering lead | NOT OBSERVED by ETW — primary-source only.,rapuncel
2.26.126.50,ipv4,unspecified,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,High,rapuncel,PRIMARY,Rapuncel /upload exfil | NOT OBSERVED by ETW — primary-source only.,rapuncel
104.21.27.38,ipv4,unspecified,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,Moderate,rapuncel,PRIMARY,Cloudflare-fronted mapping — low specificity | NOT OBSERVED by ETW — primary-source only.,rapuncel
172.67.168.224,ipv4,unspecified,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,Moderate,rapuncel,PRIMARY,Cloudflare-fronted mapping — low specificity | NOT OBSERVED by ETW — primary-source only.,rapuncel
172.67.212.253,ipv4,unspecified,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,Moderate,rapuncel,PRIMARY,Cloudflare-fronted — do not promote as actor-owned | NOT OBSERVED by ETW — primary-source only.,rapuncel
104.21.20.224,ipv4,unspecified,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,Moderate,rapuncel,PRIMARY,Cloudflare-fronted — do not promote as actor-owned | NOT OBSERVED by ETW — primary-source only.,rapuncel
104.21.18.89,ipv4,unspecified,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,Moderate,rapuncel,PRIMARY,Cloudflare-fronted — do not promote as actor-owned | NOT OBSERVED by ETW — primary-source only.,rapuncel
C:\Windows\System32\drivers\nvfsflt64.sys,path,unspecified,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,High,rapuncel,PRIMARY,Alinubx on-disk path | NOT OBSERVED by ETW — primary-source only.,rapuncel
NvFsFilter,service,unspecified,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,High,rapuncel,PRIMARY,NVIDIA-style service name | NOT OBSERVED by ETW — primary-source only.,rapuncel
\\.\Alinubx,device,unspecified,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,High,rapuncel,PRIMARY,driver device object | NOT OBSERVED by ETW — primary-source only.,rapuncel
1e6c1766ac78d7adfdae71d361cb132d972771897ae9065503b135cb812d7c35,sha256,unspecified,https://blog.lastpass.com/posts/lastpass-delphos-report-rapuncel-infostealer,High,rapuncel,PRIMARY,istatlmenus.com/mandua.wonted JS body hash (2026-09-10) | NOT OBSERVED by ETW — primary-source only.,rapuncel
