indicator,type,first_seen,source,confidence,family,status,notes,case
liblocal-service.so,filename,unspecified,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,High,rathat,PRIMARY,Go agent | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,rathat
/data/local/tmp,path,unspecified,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,High,rathat,PRIMARY,staging path | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,rathat
libmedia_codec.so,filename,unspecified,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,High,rathat,PRIMARY,disguised FRP client | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,rathat
127.0.0.1:7910,local_service,unspecified,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,High,rathat,PRIMARY,Go agent HTTP | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,rathat
/api/node/register,uri_path,unspecified,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,High,rathat,PRIMARY,C2 register | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,rathat
/api/data/credentials,uri_path,unspecified,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,High,rathat,PRIMARY,credential exfil | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,rathat
/api/adbk/upload,uri_path,unspecified,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,High,rathat,PRIMARY,ADB cert/key upload | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,rathat
/api/adbk/port,uri_path,unspecified,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,High,rathat,PRIMARY,ADB port reporting | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,rathat
/api/data/cipher,uri_path,unspecified,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,High,rathat,PRIMARY,PIN/pattern/password | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,rathat
/api/tun/config,uri_path,unspecified,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,High,rathat,PRIMARY,FRP config | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,rathat
0x9999,manifest_chunk,unspecified,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,High,rathat,PRIMARY,manifest bomb chunk type | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,rathat
27042/tcp,port,unspecified,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,High,rathat,PRIMARY,Frida anti-analysis probe | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,rathat
/api/v2/dev/tasks,uri_path,unspecified,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,High,rathat,PRIMARY,agent command queue | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,rathat
/api/v2/dev/localServiceHeartbeat,uri_path,unspecified,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,High,rathat,PRIMARY,agent heartbeat | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,rathat
/api/v2/dev/data/screen-monitor,uri_path,unspecified,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,High,rathat,PRIMARY,shell screen monitor | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,rathat
getevent,command,unspecified,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,High,rathat,PRIMARY,raw /dev/input capture | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,rathat
/dev/input,path,unspecified,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,High,rathat,PRIMARY,kernel input nodes | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,rathat
locateValues.json,filename,unspecified,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,High,rathat,PRIMARY,Keypad geometry artifact | UNVERIFIED pending passive checks where applicable. NOT malware download.,rathat
SystemHelperService,component,unspecified,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,High,rathat,PRIMARY,Accessibility automation service class | UNVERIFIED pending passive checks where applicable. NOT malware download.,rathat
fegrs.adidasabc.com,domain,unspecified,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.,rathat
admin.xiongmaocs.help,domain,unspecified,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.,rathat
oop.uuokxx.com,domain,unspecified,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.,rathat
andxxxo.com,domain,unspecified,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.,rathat
www.blackcat880.shop,domain,unspecified,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.,rathat
www.cheng770.cyou,domain,unspecified,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.,rathat
admin.xiongmaocs.mom,domain,unspecified,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,WSS host from c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.,rathat
admin.xiongmaocs.pics,domain,unspecified,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,WSS host from c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.,rathat
admin.fjbjwgyuyftg.qpon,domain,unspecified,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,WSS host from c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.,rathat
admin.niaotong2.top,domain,unspecified,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,WSS host from c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.,rathat
www.heilongyk.top,domain,unspecified,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,WSS host from c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.,rathat
cz.gpgmk.com,domain,unspecified,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,WSS host from c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.,rathat
cunzhang.jrgdef.cn,domain,unspecified,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.,rathat
bc.etlva.cn,domain,unspecified,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.,rathat
jiaozhu.etlva.cn,domain,unspecified,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.,rathat
mao.terh5.cn,domain,unspecified,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.,rathat
kingbss.com,domain,unspecified,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium phishing.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.,rathat
app.tmgg01.top,domain,unspecified,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium phishing.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.,rathat
primevoria.com,domain,unspecified,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium phishing.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.,rathat
https://x14hidgz0ez.s3.ap-south-1.amazonaws.com/Xr9HBk23fX.apk,url,unspecified,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,Phishing APK URL — do not download | UNVERIFIED pending passive checks where applicable. NOT malware download.,rathat
00ba0d5aea129f098b5a609633ac77cd642fddba8b64f6332e49e6d33294992e,sha256,unspecified,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,First listed APK hash in Zimperium apks.csv (representative; 162 total) | UNVERIFIED pending passive checks where applicable. NOT malware download.,rathat
