domain,source,confidence,family,status,notes
fegrs.adidasabc.com,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.
admin.xiongmaocs.help,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.
oop.uuokxx.com,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.
andxxxo.com,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.
www.blackcat880.shop,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.
www.cheng770.cyou,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.
admin.xiongmaocs.mom,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,WSS host from c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.
admin.xiongmaocs.pics,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,WSS host from c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.
admin.fjbjwgyuyftg.qpon,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,WSS host from c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.
admin.niaotong2.top,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,WSS host from c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.
www.heilongyk.top,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,WSS host from c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.
cz.gpgmk.com,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,WSS host from c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.
cunzhang.jrgdef.cn,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.
bc.etlva.cn,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.
jiaozhu.etlva.cn,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.
mao.terh5.cn,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium c2.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.
kingbss.com,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium phishing.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.
app.tmgg01.top,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium phishing.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.
primevoria.com,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat,Moderate,rathat,PRIMARY,From Zimperium phishing.csv | UNVERIFIED pending passive checks where applicable. NOT malware download.
