evidence_id,family,indicator,type,first_seen,provenance,confidence,independently_verified,source_url,retrieval_date_utc,notes,status_label
SET-IND-0001,Settra,45.13.122.7,ipv4,see notes,PRIMARY-SOURCE,High,false,https://www.huntress.com/blog/new-settra-ransomware-variant,2026-09-19T18:07:48Z,July 2026 MeshAgent C2 (mvtcs.exe) | NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
SET-IND-0002,Settra,193.5.65.114,ipv4,see notes,PRIMARY-SOURCE,High,false,https://www.huntress.com/blog/new-settra-ransomware-variant,2026-09-19T18:07:48Z,Sept MeshAgent C2 (Huntress). urlscan MeshCentral from 2025-05 (SET-CLAIM-0017); RDAP NL-RAPIDSEEDBOX (SET-CLAIM-0018). INFRASTRUCTURE_OVERLAP / UNKNOWN — not Settra-exclusive.,CAMPAIGN_ASSOCIATED
SET-IND-0003,Settra,WIN-LIVFRVQFMKO,hostname,see notes,PRIMARY-SOURCE,High,false,https://www.huntress.com/blog/new-settra-ransomware-variant,2026-09-19T18:07:48Z,Workstation lead; Huntress to 2024-12-24; Kaspersky SSL CN on :7777 (SET-CLAIM-0016). UNKNOWN / not Settra-exclusive — do not backdate Settra.,SUSPICIOUS
SET-IND-0004,Settra,RESTORE_FILES.txt,filename,see notes,PRIMARY-SOURCE,High,false,https://www.huntress.com/blog/new-settra-ransomware-variant,2026-09-19T18:07:48Z,ransom note | NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
SET-IND-0005,Settra,RESTORE_FILES.html,filename,see notes,PRIMARY-SOURCE,High,false,https://www.cynet.com/settra-ransomware-inside-a-new-enterprise-grade-extortion-threat/,2026-09-19T18:07:48Z,ransom note (Cynet) | NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
SET-IND-0006,Settra,gdrv.sys,filename,see notes,PRIMARY-SOURCE,High,false,https://www.huntress.com/blog/new-settra-ransomware-variant,2026-09-19T18:07:48Z,BYOVD Sept incident | NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
SET-IND-0007,Settra,STProcessMonitor_v114.sys,filename,see notes,PRIMARY-SOURCE,High,false,https://www.moxfive.com/blog/settra-ransomware-ttps-victims-and-defense-guide,2026-09-19T18:07:48Z,MOXFIVE BYOVD artifact — operator tooling | NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
SET-IND-0008,Settra,STProcessMonitor.sys,filename,see notes,PRIMARY-SOURCE,Moderate,false,https://www.moxfive.com/blog/settra-ransomware-ttps-victims-and-defense-guide,2026-09-19T18:07:48Z,related vulnerable-driver artifact | NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
SET-IND-0009,Settra,.locked,extension,see notes,PRIMARY-SOURCE,High,false,https://www.huntress.com/blog/new-settra-ransomware-variant,2026-09-19T18:07:48Z,July encrypted extension | NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
SET-IND-0010,Settra,.locked_wip,extension,see notes,PRIMARY-SOURCE,High,false,https://www.huntress.com/blog/new-settra-ransomware-variant,2026-09-19T18:07:48Z,Sept / Cynet intermediate extension | NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
SET-IND-0011,Settra,C:\Users\Public\NOTICE.png,path,see notes,PRIMARY-SOURCE,Moderate,false,https://www.cynet.com/settra-ransomware-inside-a-new-enterprise-grade-extortion-threat/,2026-09-19T18:07:48Z,wallpaper artifact (Cynet) | NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
SET-IND-0012,Settra,win64.exe --pass <secret> --cmd --path <dir>,behavioral,see notes,PRIMARY-SOURCE,High,false,https://www.cynet.com/settra-ransomware-inside-a-new-enterprise-grade-extortion-threat/,2026-09-19T18:07:48Z,CLI password gate pattern | NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
SET-IND-0013,Settra,*_win64.exe,filename_pattern,see notes,PRIMARY-SOURCE,High,false,https://www.huntress.com/blog/new-settra-ransomware-variant,2026-09-19T18:07:48Z,victim-domain_win64.exe naming | NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
SET-IND-0014,Settra,Microsoft-Windows-Defender/Operational,artifact,see notes,PRIMARY-SOURCE,High,false,https://www.huntress.com/blog/new-settra-ransomware-variant,2026-09-19T18:07:48Z,typo in clear-list; correct is Microsoft-Windows-Windows-Defender/Operational | NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
SET-IND-0015,Settra,id-manulife.com,domain,2025-05-05,OBSERVED_PASSIVE,Low,true,https://urlscan.io/api/v1/search/?q=ip:193.5.65.114,2026-09-19T19:10:00Z,Historical domain resolving to MeshAgent IP 193.5.65.114 (MeshCentral UI). INFRASTRUCTURE_OVERLAP / UNKNOWN — not Settra-exclusive.,SUSPICIOUS
SET-IND-0016,Settra,MeshCentralRoot-eca57f,tls_issuer,2025-07-30,OBSERVED_PASSIVE,Moderate,true,https://urlscan.io/result/019939fe-261d-761d-b4c3-8d0eae2a8bf2/,2026-09-19T19:10:00Z,urlscan tlsIssuer for MeshCentral panel on 193.5.65.114. Detection artifact — not Settra malware hash.,CAMPAIGN_ASSOCIATED
