indicator,type,first_seen,source,confidence,family,status,notes,case
C559CC68986933200FD5D9E4388E2F58,md5,2026-06,https://securelist.com/strikeshark-campaign/120326/,High,sharkloader,PRIMARY,Installer sample (Kaspersky StrikeShark) NOT OBSERVED by ETW.,sharkloader
B3352B42432DEDC4A519F011DC8B5D5A,md5,2026-06,https://securelist.com/strikeshark-campaign/120326/,High,sharkloader,PRIMARY,Dropper sample NOT OBSERVED by ETW.,sharkloader
24FCEBDEECBA65004FDB0923763D74FD,md5,2026-06,https://securelist.com/strikeshark-campaign/120326/,High,sharkloader,PRIMARY,Dropper (Taiwan gov chain) — Chinese-filename pdf.exe NOT OBSERVED by ETW.,sharkloader
9C872A0D5D5A38950E8B9AC9B488BE3F,md5,2026-06,https://securelist.com/strikeshark-campaign/120326/,High,sharkloader,PRIMARY,SharkLoader DLL NOT OBSERVED by ETW.,sharkloader
AA3086BE652C8B20B0B29B2730D57119,md5,2026-06,https://securelist.com/strikeshark-campaign/120326/,High,sharkloader,PRIMARY,SharkLoader DLL SystemSettings.dll NOT OBSERVED by ETW.,sharkloader
A514D1BB62D7916475946FE7C07AC0AA,md5,2026-06,https://securelist.com/strikeshark-campaign/120326/,High,sharkloader,PRIMARY,Encrypted DscCoreR.mui NOT OBSERVED by ETW.,sharkloader
9CBD560F820C95D7C38342CD558CB5C6,md5,2026-06,https://securelist.com/strikeshark-campaign/120326/,High,sharkloader,PRIMARY,Encrypted SyncRest.dat / SyncRes.dat NOT OBSERVED by ETW.,sharkloader
1F65544978B8EA0E745E573B8EE9684B,md5,2026-06,https://securelist.com/strikeshark-campaign/120326/,High,sharkloader,PRIMARY,Dropper (Lebanon) NOT OBSERVED by ETW.,sharkloader
connect-microsoft.com,domain,2026-06,https://securelist.com/strikeshark-campaign/120326/,High,sharkloader,PRIMARY,C2 / infrastructure domain (defanged in article) NOT OBSERVED by ETW.,sharkloader
ms-record.com,domain,2026-06,https://securelist.com/strikeshark-campaign/120326/,High,sharkloader,PRIMARY,C2 / infrastructure domain NOT OBSERVED by ETW.,sharkloader
ms-record.top,domain,2026-06,https://securelist.com/strikeshark-campaign/120326/,High,sharkloader,PRIMARY,C2 / infrastructure domain NOT OBSERVED by ETW.,sharkloader
ms-tray.top,domain,2026-06,https://securelist.com/strikeshark-campaign/120326/,High,sharkloader,PRIMARY,C2 / infrastructure domain NOT OBSERVED by ETW.,sharkloader
SystemSettings.dll,filename,2026-06,https://securelist.com/strikeshark-campaign/120326/,High,sharkloader,PRIMARY,Malicious SharkLoader sideload DLL NOT OBSERVED by ETW.,sharkloader
DscCoreR.mui,filename,2026-06,https://securelist.com/strikeshark-campaign/120326/,High,sharkloader,PRIMARY,Encrypted module hosting Beacon + MinHook NOT OBSERVED by ETW.,sharkloader
SyncRes.dat,filename,2026-06,https://securelist.com/strikeshark-campaign/120326/,High,sharkloader,PRIMARY,Encrypted Detours API-hook module (also SyncRest.dat) NOT OBSERVED by ETW.,sharkloader
%APPDATA%\xwreg,path,2026-06,https://securelist.com/strikeshark-campaign/120326/,High,sharkloader,PRIMARY,Common SharkLoader working directory NOT OBSERVED by ETW.,sharkloader
%APPDATA%\xgdf,path,2026-06,https://securelist.com/strikeshark-campaign/120326/,High,sharkloader,PRIMARY,Alternate SharkLoader working directory NOT OBSERVED by ETW.,sharkloader
MFUpdate,string,2026-06,https://securelist.com/strikeshark-campaign/120326/,High,sharkloader,PRIMARY,HKCU Run key value used for SystemSettings.exe persistence (Hong Kong incident) NOT OBSERVED by ETW.,sharkloader
\Microsoft\Windows\Edge\Edgeupdate,string,2026-06,https://securelist.com/strikeshark-campaign/120326/,High,sharkloader,PRIMARY,Scheduled task name (Indonesia diplomatic incident) NOT OBSERVED by ETW.,sharkloader
d98f568496512e4f98670c61c97cb07a,md5,2026,https://securelist.com/strikeshark-campaign/120326/,High,sharkloader,PRIMARY,Securelist StrikeShark PRIMARY MD5 NOT OBSERVED by ETW.,sharkloader
ed1f9e435dc885292eab65620c51f3fb,md5,2026,https://securelist.com/strikeshark-campaign/120326/,High,sharkloader,PRIMARY,Securelist StrikeShark PRIMARY MD5 NOT OBSERVED by ETW.,sharkloader
