evidence_id,family,indicator,type,first_seen,provenance,confidence,independently_verified,source_url,retrieval_date_utc,notes,status_label
SHO-IND-0001,Showboat,telecom.webredirect.org,domain,unspecified,PRIMARY-SOURCE,High,false,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,2026-09-19T19:05:00Z,Decrypted config SERVER_ADDRESS. NOT OBSERVED ownership.,CAMPAIGN_ASSOCIATED
SHO-IND-0002,Showboat,139.84.227.139,ip,unspecified,PRIMARY-SOURCE,High,false,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,2026-09-19T19:05:00Z,Resolves from telecom.webredirect.org; primary C2.,CAMPAIGN_ASSOCIATED
SHO-IND-0003,Showboat,194.135.25.132,ip,unspecified,PRIMARY-SOURCE,High,false,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,2026-09-19T19:05:00Z,Second C2 via shared cert; Afghanistan ISP victim traffic Dec2025-Feb2026.,CAMPAIGN_ASSOCIATED
SHO-IND-0004,Showboat,singtelcom.site,domain,unspecified,PRIMARY-SOURCE,High,false,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,2026-09-19T19:05:00Z,Telecom impersonation domain.,CAMPAIGN_ASSOCIATED
SHO-IND-0005,Showboat,23.27.201.160,ip,unspecified,PRIMARY-SOURCE,High,false,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,2026-09-19T19:05:00Z,Hosted singtelcom.site. Also in BLL Showboat_IOCs.txt :443. CDN demotion N/A. author_attribution=NOT_ESTABLISHED.,CAMPAIGN_ASSOCIATED
SHO-IND-0006,Showboat,kaztelecom.shop,domain,unspecified,PRIMARY-SOURCE,High,false,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,2026-09-19T19:05:00Z,Telecom impersonation domain.,CAMPAIGN_ASSOCIATED
SHO-IND-0007,Showboat,101.36.105.222,ip,unspecified,PRIMARY-SOURCE,High,false,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,2026-09-19T19:05:00Z,Hosted kaztelecom.shop.,CAMPAIGN_ASSOCIATED
SHO-IND-0008,Showboat,d6a4fad5448838dbc8cc6b33f1dbfbdc7a2fad36de58ff6a66dce96f729f7011,sha256,2025-05,PRIMARY-SOURCE,High,false,https://raw.githubusercontent.com/blacklotuslabs/IOCs/main/Showboat_IOCs.txt,2026-09-19T19:05:00Z,Linux sample from BLL IOC appendix; also VT link in THN.,CAMPAIGN_ASSOCIATED
SHO-IND-0009,Showboat,8fc0b205876923d35df436e666ec1506839ef3861422037490bae4daa63c1165,sha256,unspecified,PRIMARY-SOURCE,High,false,https://raw.githubusercontent.com/blacklotuslabs/IOCs/main/Showboat_IOCs.txt,2026-09-19T19:05:00Z,Windows sample (BLL appendix).,CAMPAIGN_ASSOCIATED
SHO-IND-0010,Showboat,253cc9dbabeb0054f3d353cfff24f2aeb9cecd3e031333127d33cc4edacf2a56,sha256,unspecified,PRIMARY-SOURCE,High,false,https://raw.githubusercontent.com/blacklotuslabs/IOCs/main/Showboat_IOCs.txt,2026-09-19T19:05:00Z,Windows sample (BLL appendix).,CAMPAIGN_ASSOCIATED
SHO-IND-0011,Showboat,27df475626aafce2ea1548a9f35efb9ad951298c8b11a6adb3ccdfcd5170c677,x509_sha256,unspecified,PRIMARY-SOURCE,High,false,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,2026-09-19T19:05:00Z,Primary cluster X.509 fingerprint (My Organization).,CAMPAIGN_ASSOCIATED
SHO-IND-0012,Showboat,look me AV!,xor_key,unspecified,PRIMARY-SOURCE,High,false,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,2026-09-19T19:05:00Z,Hardcoded XOR key phrase look me comma AV bang.,CAMPAIGN_ASSOCIATED
SHO-IND-0013,Showboat,103.10.145.129,ip,2023-04-04,PRIMARY-SOURCE,High,false,https://raw.githubusercontent.com/blacklotuslabs/IOCs/main/Showboat_IOCs.txt,2026-09-19T19:05:00Z,Hosted ukpkmkk.bin; first_seen 2023-04-04 supports historical activity. CDN demotion N/A. author_attribution=NOT_ESTABLISHED.,CAMPAIGN_ASSOCIATED
SHO-IND-0014,Showboat,114.116.239.178,ip,2024-11-01,PRIMARY-SOURCE,High,false,https://raw.githubusercontent.com/blacklotuslabs/IOCs/main/Showboat_IOCs.txt,2026-09-19T19:05:00Z,Hosted ukpkmkk.bin 2024-11 to 2025-02. CDN demotion N/A. author_attribution=NOT_ESTABLISHED.,CAMPAIGN_ASSOCIATED
SHO-IND-0015,Showboat,192.9.141.111,ip,unspecified,PRIMARY-SOURCE,High,false,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,2026-09-19T19:05:00Z,Secondary cluster; possible US victims on port 9999.,CAMPAIGN_ASSOCIATED
SHO-IND-0016,Showboat,64.176.43.209,ip,unspecified,PRIMARY-SOURCE,High,false,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,2026-09-19T19:05:00Z,Secondary cluster; Ukraine-region traffic noted by Lumen.,CAMPAIGN_ASSOCIATED
SHO-IND-0017,Showboat,116.169.244.208,ip,unspecified,PRIMARY-SOURCE,Moderate,false,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,2026-09-19T19:05:00Z,Possible upstream/dev; China Unicom Chengdu. ASSOCIATION_ONLY for actor ownership.,ASSOCIATION_ONLY
