indicator,type,first_seen,source,confidence,family,status,notes,case
telecom.webredirect.org,domain,unspecified,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,High,showboat,PRIMARY,Decrypted config SERVER_ADDRESS. NOT OBSERVED ownership.,showboat
139.84.227.139,ip,unspecified,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,High,showboat,PRIMARY,Resolves from telecom.webredirect.org; primary C2.,showboat
194.135.25.132,ip,unspecified,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,High,showboat,PRIMARY,Second C2 via shared cert; Afghanistan ISP victim traffic Dec2025-Feb2026.,showboat
singtelcom.site,domain,unspecified,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,High,showboat,PRIMARY,Telecom impersonation domain.,showboat
23.27.201.160,ip,unspecified,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,High,showboat,PRIMARY,Hosted singtelcom.site. Also in BLL Showboat_IOCs.txt :443. CDN demotion N/A. author_attribution=NOT_ESTABLISHED.,showboat
kaztelecom.shop,domain,unspecified,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,High,showboat,PRIMARY,Telecom impersonation domain.,showboat
101.36.105.222,ip,unspecified,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,High,showboat,PRIMARY,Hosted kaztelecom.shop.,showboat
d6a4fad5448838dbc8cc6b33f1dbfbdc7a2fad36de58ff6a66dce96f729f7011,sha256,2025-05,https://raw.githubusercontent.com/blacklotuslabs/IOCs/main/Showboat_IOCs.txt,High,showboat,PRIMARY,Linux sample from BLL IOC appendix; also VT link in THN.,showboat
8fc0b205876923d35df436e666ec1506839ef3861422037490bae4daa63c1165,sha256,unspecified,https://raw.githubusercontent.com/blacklotuslabs/IOCs/main/Showboat_IOCs.txt,High,showboat,PRIMARY,Windows sample (BLL appendix).,showboat
253cc9dbabeb0054f3d353cfff24f2aeb9cecd3e031333127d33cc4edacf2a56,sha256,unspecified,https://raw.githubusercontent.com/blacklotuslabs/IOCs/main/Showboat_IOCs.txt,High,showboat,PRIMARY,Windows sample (BLL appendix).,showboat
27df475626aafce2ea1548a9f35efb9ad951298c8b11a6adb3ccdfcd5170c677,x509_sha256,unspecified,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,High,showboat,PRIMARY,Primary cluster X.509 fingerprint (My Organization).,showboat
look me AV!,xor_key,unspecified,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,High,showboat,PRIMARY,Hardcoded XOR key phrase look me comma AV bang.,showboat
103.10.145.129,ip,2023-04-04,https://raw.githubusercontent.com/blacklotuslabs/IOCs/main/Showboat_IOCs.txt,High,showboat,PRIMARY,Hosted ukpkmkk.bin; first_seen 2023-04-04 supports historical activity. CDN demotion N/A. author_attribution=NOT_ESTABLISHED.,showboat
114.116.239.178,ip,2024-11-01,https://raw.githubusercontent.com/blacklotuslabs/IOCs/main/Showboat_IOCs.txt,High,showboat,PRIMARY,Hosted ukpkmkk.bin 2024-11 to 2025-02. CDN demotion N/A. author_attribution=NOT_ESTABLISHED.,showboat
192.9.141.111,ip,unspecified,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,High,showboat,PRIMARY,Secondary cluster; possible US victims on port 9999.,showboat
64.176.43.209,ip,unspecified,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,High,showboat,PRIMARY,Secondary cluster; Ukraine-region traffic noted by Lumen.,showboat
116.169.244.208,ip,unspecified,https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms,Moderate,showboat,PRIMARY,Possible upstream/dev; China Unicom Chengdu. ASSOCIATION_ONLY for actor ownership.,showboat
45.76.157.243,ip,2024-06-11,https://raw.githubusercontent.com/blacklotuslabs/IOCs/main/Showboat_IOCs.txt,High,showboat,PRIMARY,BLL Showboat_IOCs.txt C2 table :443 2024-06-11â€“2024-10-18. Local: evidence/primary-sources/showboat/Showboat_IOCs_2026-09-19T190009Z.txt. Primary URL: https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms. CDN demotion N/A. author_attribution=NOT_ESTABLISHED.,showboat
139.84.135.190,ip,2024-06-08,https://raw.githubusercontent.com/blacklotuslabs/IOCs/main/Showboat_IOCs.txt,High,showboat,PRIMARY,BLL Showboat_IOCs.txt C2 table :443 2024-06-08â€“2024-07-10. Local: evidence/primary-sources/showboat/Showboat_IOCs_2026-09-19T190009Z.txt. Primary URL: https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms. CDN demotion N/A. author_attribution=NOT_ESTABLISHED.,showboat
139.180.223.193,ip,2024-09-05,https://raw.githubusercontent.com/blacklotuslabs/IOCs/main/Showboat_IOCs.txt,High,showboat,PRIMARY,BLL Showboat_IOCs.txt C2 table :443 2024-09-05â€“2025-02-10. Local: evidence/primary-sources/showboat/Showboat_IOCs_2026-09-19T190009Z.txt. Primary URL: https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms. CDN demotion N/A. author_attribution=NOT_ESTABLISHED.,showboat
152.32.159.11,ip,2024-02-05,https://raw.githubusercontent.com/blacklotuslabs/IOCs/main/Showboat_IOCs.txt,High,showboat,PRIMARY,BLL Showboat_IOCs.txt C2 table :443 with domain singtelcom.site 2024-02-05â€“2025-03-05. Local: evidence/primary-sources/showboat/Showboat_IOCs_2026-09-19T190009Z.txt. Primary URL: https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms. CDN demotion N/A. author_attribution=NOT_ESTABLISHED.,showboat
38.246.73.120,ip,2025-03-10,https://raw.githubusercontent.com/blacklotuslabs/IOCs/main/Showboat_IOCs.txt,High,showboat,PRIMARY,BLL Showboat_IOCs.txt C2 table :443 2025-03-10â€“2025-05-28. Local: evidence/primary-sources/showboat/Showboat_IOCs_2026-09-19T190009Z.txt. Primary URL: https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms. CDN demotion N/A. author_attribution=NOT_ESTABLISHED.,showboat
ukpkmkk.c,filename,unspecified,https://www.picussecurity.com/resource/blog/showboat-malware-targeting-middle-east-telecom-firms-since-2022,Moderate,showboat,PRIMARY,Pastebin-fetched hide source per Picus. Companion to BLL ukpkmkk.bin hosts.,showboat
ukpkmkk.so,filename,unspecified,https://www.picussecurity.com/resource/blog/showboat-malware-targeting-middle-east-telecom-firms-since-2022,Moderate,showboat,PRIMARY,Compiled shared object for ld.so.preload abuse.,showboat
kworkers|dbus|autoupdate,string,unspecified,https://www.picussecurity.com/resource/blog/showboat-malware-targeting-middle-east-telecom-firms-since-2022,Moderate,showboat,PRIMARY,process_to_filter constant in Pastebin C source per Picus.,showboat
