hash,hash_type,source,confidence,family,status,notes
162e436f18fe6099c57855c8d63fd747493624e87702dc749b242eb9a6b758ca,sha256,https://raw.githubusercontent.com/Cisco-Talos/IOCs/main/2026/07/new-starland-rat-and-WLDR-implant-campaign.txt,High,starlandrat,PRIMARY,Talos IOC appendix: Starland RAT sample SHA-256 NOT OBSERVED by ETW.
d52540621dec5ed56cac8532f0e4fe10a7575c3e17e984f59646909fa587dd35,sha256,https://raw.githubusercontent.com/Cisco-Talos/IOCs/main/2026/07/new-starland-rat-and-WLDR-implant-campaign.txt,High,starlandrat,PRIMARY,Talos IOC appendix: WLDR-agent-payload.ps1 NOT OBSERVED by ETW.
47dedb08385449d48d8b6543030310317c92cddafa25e14ee0cb9a32d53ced5c,sha256,https://raw.githubusercontent.com/Cisco-Talos/IOCs/main/2026/07/new-starland-rat-and-WLDR-implant-campaign.txt,High,starlandrat,PRIMARY,Talos IOC appendix: Python_Loader.py NOT OBSERVED by ETW.
6ca7a458985350ac082a9c9820d7f8d39128a4c4bda2f5d32f169a45b7b22bc6,sha256,https://raw.githubusercontent.com/Cisco-Talos/IOCs/main/2026/07/new-starland-rat-and-WLDR-implant-campaign.txt,High,starlandrat,PRIMARY,Talos IOC appendix: trojanized MobaXterm_v26.1.exe NOT OBSERVED by ETW.
6ae334ce60d1a9b7fb96d1d0d0eda5ec7c2c31d3f0cf3e4d7e3056504d50043d,sha256,https://raw.githubusercontent.com/Cisco-Talos/IOCs/main/2026/07/new-starland-rat-and-WLDR-implant-campaign.txt,High,starlandrat,PRIMARY,Talos IOC appendix: trojanized WebEx_Client.exe NOT OBSERVED by ETW.
f4491736743a16f1278b8ba01649ee93343764e35ae5e1c0d5e0c0e1d7e32c14,sha256,https://raw.githubusercontent.com/Cisco-Talos/IOCs/main/2026/07/new-starland-rat-and-WLDR-implant-campaign.txt,High,starlandrat,PRIMARY,Talos IOC appendix: trojanized Zoom Installer NOT OBSERVED by ETW.
896185a89bd7eb0520b03fdcfb8db0be98b43cf15f14041d73b23d3988c1bcab,sha256,https://raw.githubusercontent.com/Cisco-Talos/IOCs/main/2026/07/new-starland-rat-and-WLDR-implant-campaign.txt,High,starlandrat,PRIMARY,Talos IOC appendix: CastleStealer follow-on NOT OBSERVED by ETW.
a1835d333ac3db961a8ff1f4864e3c10a6f73a872c040599091390a009ac7804,sha256,https://raw.githubusercontent.com/Cisco-Talos/IOCs/main/2026/07/new-starland-rat-and-WLDR-implant-campaign.txt,High,starlandrat,PRIMARY,Talos IOC appendix: remcosRAT follow-on NOT OBSERVED by ETW.
2a27b3415114b874da295c19cce5227a8b8d9525cc2da331034a1f45528eecae,sha256,https://raw.githubusercontent.com/Cisco-Talos/IOCs/main/2026/07/new-starland-rat-and-WLDR-implant-campaign.txt,High,starlandrat,PRIMARY,Talos IOC appendix: ShellcodeX64-starlandfox.bin NOT OBSERVED by ETW.
17e41d66ebfd56edc960f58f4285697ceceaa812514bb15092672c747979896e,sha256,https://raw.githubusercontent.com/Cisco-Talos/IOCs/main/2026/07/new-starland-rat-and-WLDR-implant-campaign.txt,High,starlandrat,PRIMARY,Talos IOC appendix: Stage-1.ps1 WLDR chain NOT OBSERVED by ETW.
1a01ad25712d306f27f526332fdccf959f2de53207b54e4e80f60faa804d6cb6,sha256,https://blog.talosintelligence.com/uat-11795-deploys-novel-starland-rat-and-bespoke-wldr-c2-implant-in-financially-motivated-campaign/,High,starlandrat,PRIMARY,Talos IOC appendix — FaceitInstaller_x64.exe NOT OBSERVED by ETW.
ddcf66ecc61dc6b8cd36748d284d8cb45a470201b5373dd2bfc47700c7da32e1,sha256,https://blog.talosintelligence.com/uat-11795-deploys-novel-starland-rat-and-bespoke-wldr-c2-implant-in-financially-motivated-campaign/,High,starlandrat,PRIMARY,Talos IOC appendix — dbeaver-ce-windows-x86_64.exe NOT OBSERVED by ETW.
603fd9724de346a06e00c1b8502c2ac1180812a18bbf30032dab8d469e5c18e1,sha256,https://blog.talosintelligence.com/uat-11795-deploys-novel-starland-rat-and-bespoke-wldr-c2-implant-in-financially-motivated-campaign/,High,starlandrat,PRIMARY,Talos IOC appendix — dbeaver_ce_windows_x86_64.exe NOT OBSERVED by ETW.
2c7a99f137efd718f89cf8b260379c99af89ea1939568df09314918f2c5999a3,sha256,https://blog.talosintelligence.com/uat-11795-deploys-novel-starland-rat-and-bespoke-wldr-c2-implant-in-financially-motivated-campaign/,High,starlandrat,PRIMARY,Talos IOC appendix — HTA NOT OBSERVED by ETW.
5b9bf7957a9f8869c87ace1a6d76b48e2623073e72739ad0636b5dfa4bb2e0c3,sha256,https://blog.talosintelligence.com/uat-11795-deploys-novel-starland-rat-and-bespoke-wldr-c2-implant-in-financially-motivated-campaign/,High,starlandrat,PRIMARY,Talos IOC appendix — HTA NOT OBSERVED by ETW.
