indicator,type,first_seen,source,confidence,family,status,notes,case
https://filereserve.blob.core.windows.net/vgnghuyk/331/331.msi,url,2026-07/2026-08,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,Initial Teams-delivered MSI URL | NOT OBSERVED by ETW until passive row exists.,synkloader
151d2a7f52f047638ca8ad80c859c6bfe04d7510fb10933817fa0e3ba5d07a11,sha256,2026-07/2026-08,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,331.msi | NOT OBSERVED by ETW until passive row exists.,synkloader
80f08360ba768b152b71abb1cab557f552a13de18c83fe8e6396a197feec9185,sha256,2026-07/2026-08,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,cleaner.ps1 | NOT OBSERVED by ETW until passive row exists.,synkloader
209f69a6ca859f05c954096b30391a43fda33c9ed264dfdccf806697f04b06a8,sha256,2026-07/2026-08,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,archive6.zip | NOT OBSERVED by ETW until passive row exists.,synkloader
d150c70d2732df17aa77991b9ebf4c896f044445e900978581d9598dfa5dc98c,sha256,2026-07/2026-08,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,ss.py main loader | NOT OBSERVED by ETW until passive row exists.,synkloader
61f961cfebdf9967844526649b4b75bba5b1b83210b70aa1bffe3f64e6ac3112,sha256,2026-07/2026-08,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,msvcp150.dll PowerShell executor | NOT OBSERVED by ETW until passive row exists.,synkloader
8207d8d949530ea063ffd5d47ee81b74bf718ec0a4755e2349e6af9b91e92dc1,sha256,2026-07/2026-08,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,msvcp160.dll DLL loader | NOT OBSERVED by ETW until passive row exists.,synkloader
c4acda412774c292f0db5d64467a2dd09282cdea43c41967e8bf90f6298accf3,sha256,2026-07/2026-08,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,Profiling module loader | NOT OBSERVED by ETW until passive row exists.,synkloader
63622c1ddb3e2a9f11cac192e13ac7494f558516b19d5d8f140f6d0d4d38ea84,sha256,2026-07/2026-08,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,Persistence module loader | NOT OBSERVED by ETW until passive row exists.,synkloader
a335e75b78b601ebc5c258975d95fd79aa21f836fc6b79d82e9a22c596133f07,sha256,2026-07/2026-08,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,Fake lock screen loader | NOT OBSERVED by ETW until passive row exists.,synkloader
0428fbdefa8dda10ce8fc12b1b516641e83cd5088388168e3f1a0be1432b4077,sha256,2026-07/2026-08,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,Persistence module DLL | NOT OBSERVED by ETW until passive row exists.,synkloader
cb1c657f74b9e57f5e81126179128e8db949d1d4196be9dcb890341e222fd384,sha256,2026-07/2026-08,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,Fake lock screen DLL (article typo SAH256) | NOT OBSERVED by ETW until passive row exists.,synkloader
neversoftmain.net,domain,2026-07/2026-08,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,Loader C2 | NOT OBSERVED by ETW until passive row exists.,synkloader
rootfarmapp.net,domain,2026-07/2026-08,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,Loader C2 | NOT OBSERVED by ETW until passive row exists.,synkloader
tripinupdate.net,domain,2026-07/2026-08,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,Loader C2 | NOT OBSERVED by ETW until passive row exists.,synkloader
dondermicapp.net,domain,2026-07/2026-08,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,TrafficRedirector C2 | NOT OBSERVED by ETW until passive row exists.,synkloader
aroclenetapp.net,domain,2026-07/2026-08,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,VNC StreamMaster C2 | NOT OBSERVED by ETW until passive row exists.,synkloader
PowershellCleaner,filename,2026-07/2026-08,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,MSI product/folder name | NOT OBSERVED by ETW until passive row exists.,synkloader
ss.py,filename,2026-07/2026-08,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,Main Python loader | NOT OBSERVED by ETW until passive row exists.,synkloader
msvcp150.dll,filename,2026-07/2026-08,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,Fake VC++ DLL hosting RunPowerShell | NOT OBSERVED by ETW until passive row exists.,synkloader
msvcp160.dll,filename,2026-07/2026-08,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,In-memory DLL mapper | NOT OBSERVED by ETW until passive row exists.,synkloader
C:\Windows\Web\Screen,path,2026-07/2026-08,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,PhishLocker wallpaper source | NOT OBSERVED by ETW until passive row exists.,synkloader
mlswgtppayebtezk,crypto_constant,2026-07/2026-08,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,Modified ChaCha20 SIGMA_128 | NOT OBSERVED by ETW until passive row exists.,synkloader
lwifnrfiosmfrubf,crypto_constant,2026-07/2026-08,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,Modified ChaCha20 SIGMA_256 | NOT OBSERVED by ETW until passive row exists.,synkloader
C:\Users\genry\source\repos\pwshnewdll\x64\Release\pwshnewdll.pdb,pdb_path,2026-07/2026-08,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,Developer PDB left in msvcp150.dll | NOT OBSERVED by ETW until passive row exists.,synkloader
149.248.76.220,ipv4,2026-09-19,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,OBSERVED_PASSIVE A for neversoftmain.net (Expel PRIMARY C2). CDN demotion N/A (non-CDN). author_attribution=NOT_ESTABLISHED. Raw DNS: evidence/passive-observations/dns/synkloader/dns_resolve_neversoftmain.net_2026-09-19T190009Z.json. Resolving != active C2 proof.,synkloader
162.33.177.8,ipv4,2026-09-19,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,OBSERVED_PASSIVE A for rootfarmapp.net (Expel PRIMARY C2). CDN demotion N/A (non-CDN). author_attribution=NOT_ESTABLISHED. Raw DNS: evidence/passive-observations/dns/synkloader/dns_resolve_rootfarmapp.net_2026-09-19T190009Z.json. Resolving != active C2 proof.,synkloader
216.245.184.14,ipv4,2026-09-19,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,OBSERVED_PASSIVE A for tripinupdate.net (Expel PRIMARY C2). CDN demotion N/A (non-CDN). author_attribution=NOT_ESTABLISHED. Raw DNS: evidence/passive-observations/dns/synkloader/dns_resolve_tripinupdate.net_2026-09-19T190009Z.json. Resolving != active C2 proof.,synkloader
64.94.85.67,ipv4,2026-09-19,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,OBSERVED_PASSIVE A for aroclenetapp.net (Expel PRIMARY domain). CDN demotion N/A (non-CDN). author_attribution=NOT_ESTABLISHED. Raw DNS: evidence/passive-observations/dns/synkloader/dns_resolve_aroclenetapp.net_2026-09-19T190009Z.json. Resolving != active C2 proof.,synkloader
