hash,hash_type,source,confidence,family,status,notes
151d2a7f52f047638ca8ad80c859c6bfe04d7510fb10933817fa0e3ba5d07a11,sha256,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,331.msi | NOT OBSERVED by ETW until passive row exists.
80f08360ba768b152b71abb1cab557f552a13de18c83fe8e6396a197feec9185,sha256,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,cleaner.ps1 | NOT OBSERVED by ETW until passive row exists.
209f69a6ca859f05c954096b30391a43fda33c9ed264dfdccf806697f04b06a8,sha256,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,archive6.zip | NOT OBSERVED by ETW until passive row exists.
d150c70d2732df17aa77991b9ebf4c896f044445e900978581d9598dfa5dc98c,sha256,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,ss.py main loader | NOT OBSERVED by ETW until passive row exists.
61f961cfebdf9967844526649b4b75bba5b1b83210b70aa1bffe3f64e6ac3112,sha256,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,msvcp150.dll PowerShell executor | NOT OBSERVED by ETW until passive row exists.
8207d8d949530ea063ffd5d47ee81b74bf718ec0a4755e2349e6af9b91e92dc1,sha256,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,msvcp160.dll DLL loader | NOT OBSERVED by ETW until passive row exists.
c4acda412774c292f0db5d64467a2dd09282cdea43c41967e8bf90f6298accf3,sha256,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,Profiling module loader | NOT OBSERVED by ETW until passive row exists.
63622c1ddb3e2a9f11cac192e13ac7494f558516b19d5d8f140f6d0d4d38ea84,sha256,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,Persistence module loader | NOT OBSERVED by ETW until passive row exists.
a335e75b78b601ebc5c258975d95fd79aa21f836fc6b79d82e9a22c596133f07,sha256,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,Fake lock screen loader | NOT OBSERVED by ETW until passive row exists.
0428fbdefa8dda10ce8fc12b1b516641e83cd5088388168e3f1a0be1432b4077,sha256,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,Persistence module DLL | NOT OBSERVED by ETW until passive row exists.
cb1c657f74b9e57f5e81126179128e8db949d1d4196be9dcb890341e222fd384,sha256,https://expel.com/blog/synkloader-when-you-throw-in-everything-but-the-kitchen-sink/,High,synkloader,PRIMARY,Fake lock screen DLL (article typo SAH256) | NOT OBSERVED by ETW until passive row exists.
