hash,hash_type,source,confidence,family,status,notes
c3ecb90c9915daa23aec51f93ff8665778866f0592b2413578c8ba9708df6091,sha256,https://www.catonetworks.com/blog/cato-ctrl-suspected-china-linked-threat-actor-targets-global-manufacturer/,High,tencshell,PRIMARY,Cato CTRL published sample hash NOT OBSERVED by ETW.
660af53acdc505f333f6d4f4269cec740a5eb05e41a4c7926742606b18f22d33,sha256,https://www.catonetworks.com/blog/cato-ctrl-suspected-china-linked-threat-actor-targets-global-manufacturer/,High,tencshell,PRIMARY,Cato CTRL published sample hash NOT OBSERVED by ETW.
37facbbd0047c19f4efdea75ccb9e3ec793cb9b1d7846afa4fb8e900d6e9ed95,sha256,https://www.catonetworks.com/blog/cato-ctrl-suspected-china-linked-threat-actor-targets-global-manufacturer/,High,tencshell,PRIMARY,Cato CTRL published sample hash NOT OBSERVED by ETW.
01dc3e7e673b4f2682f29b19ecabf9a6ec9c3042c9b1cfb39dbdddf1dda680ab,sha256,https://www.catonetworks.com/blog/cato-ctrl-suspected-china-linked-threat-actor-targets-global-manufacturer/,High,tencshell,PRIMARY,Cato CTRL published sample hash NOT OBSERVED by ETW.
750a707084839fe970266964957b8eaa7e25b4d9ca1050cd7ab19e4a2add707d,sha256,https://www.catonetworks.com/blog/cato-ctrl-suspected-china-linked-threat-actor-targets-global-manufacturer/,High,tencshell,PRIMARY,Cato CTRL published sample hash NOT OBSERVED by ETW.
12f76f48727916d6c05f53f8cd94915db5de5ffcbfa02c4807c27e090cfa47c1,sha256,https://www.catonetworks.com/blog/cato-ctrl-suspected-china-linked-threat-actor-targets-global-manufacturer/,High,tencshell,PRIMARY,Cato CTRL published sample hash NOT OBSERVED by ETW.
4ae8de40153c66455d972e6e98fe06fb68db7301ba126557e96599527bc5509c,sha256,https://www.catonetworks.com/blog/cato-ctrl-suspected-china-linked-threat-actor-targets-global-manufacturer/,High,tencshell,PRIMARY,Cato CTRL published sample hash NOT OBSERVED by ETW.
1ba73df60e12b3feb8b5574e65cfceb6910460ab7fae2cf5554769fafdad049e,sha256,https://www.catonetworks.com/blog/cato-ctrl-suspected-china-linked-threat-actor-targets-global-manufacturer/,High,tencshell,PRIMARY,Cato CTRL published sample hash NOT OBSERVED by ETW.
90b7b2c6f3d05234dc55678243039d7e51f0d54190239e5234a0005533337dc8,sha256,https://hunt.io/blog/chinese-operators-claude-deepseek-government-intrusion,High,tencshell,PRIMARY,Linux/ARM implant retrieved from TencShell-pivoted open directory hosts; Hunt.io stops short of confirming Windows TencShell code-level match. NOT OBSERVED by ETW.
643de2a1cf9148b896efecf560c9476fa56118ec477c4e15eb5c2da4b318061f,sha256,https://hunt.io/blog/chinese-operators-claude-deepseek-government-intrusion,High,tencshell,PRIMARY,Sample retrieved from 38.55.105.143:8088 in TencShell header-fingerprint cluster NOT OBSERVED by ETW.
