indicator_id,type,value,notes,source
TRN-IND-0001,ip,154.205.154.82,TernDoor C2 (Talos),Cisco Talos UAT-9244 IoC freeze (github-ioc/uat-9244.txt)
TRN-IND-0002,ip,207.148.121.95,TernDoor C2 (Talos),Cisco Talos UAT-9244 IoC freeze (github-ioc/uat-9244.txt)
TRN-IND-0003,ip,207.148.120.52,TernDoor C2 (Talos),Cisco Talos UAT-9244 IoC freeze (github-ioc/uat-9244.txt)
TRN-IND-0004,ip,212.11.64.105,TernDoor C2 (Talos),Cisco Talos UAT-9244 IoC freeze (github-ioc/uat-9244.txt)
TRN-IND-0005,ip,149.28.25.33,Suspected UAT-9244 IP (Talos; association-only),Cisco Talos UAT-9244 IoC freeze (github-ioc/uat-9244.txt)
TRN-IND-0006,ip,154.205.154.194,Suspected UAT-9244 IP (Talos; association-only),Cisco Talos UAT-9244 IoC freeze (github-ioc/uat-9244.txt)
TRN-IND-0007,ip,154.205.154.65,Suspected UAT-9244 IP (Talos; association-only),Cisco Talos UAT-9244 IoC freeze (github-ioc/uat-9244.txt)
TRN-IND-0008,ip,154.205.154.70,Suspected UAT-9244 IP (Talos; association-only),Cisco Talos UAT-9244 IoC freeze (github-ioc/uat-9244.txt)
TRN-IND-0009,ip,154.223.21.130,Suspected UAT-9244 IP (Talos; association-only),Cisco Talos UAT-9244 IoC freeze (github-ioc/uat-9244.txt)
TRN-IND-0010,ip,154.223.21.194,Suspected UAT-9244 IP (Talos; association-only),Cisco Talos UAT-9244 IoC freeze (github-ioc/uat-9244.txt)
TRN-IND-0011,ip,158.247.238.240,Suspected UAT-9244 IP (Talos; association-only),Cisco Talos UAT-9244 IoC freeze (github-ioc/uat-9244.txt)
TRN-IND-0012,ip,216.238.112.222,Suspected UAT-9244 IP (Talos; association-only),Cisco Talos UAT-9244 IoC freeze (github-ioc/uat-9244.txt)
TRN-IND-0013,ip,216.238.123.242,Suspected UAT-9244 IP (Talos; association-only),Cisco Talos UAT-9244 IoC freeze (github-ioc/uat-9244.txt)
TRN-IND-0014,ip,216.238.94.37,Suspected UAT-9244 IP (Talos; association-only),Cisco Talos UAT-9244 IoC freeze (github-ioc/uat-9244.txt)
TRN-IND-0015,ip,38.54.125.134,Suspected UAT-9244 IP (Talos; association-only),Cisco Talos UAT-9244 IoC freeze (github-ioc/uat-9244.txt)
TRN-IND-0016,ip,38.60.199.34,Suspected UAT-9244 IP (Talos; association-only),Cisco Talos UAT-9244 IoC freeze (github-ioc/uat-9244.txt)
TRN-IND-0017,ip,45.32.106.94,Suspected UAT-9244 IP (Talos; association-only),Cisco Talos UAT-9244 IoC freeze (github-ioc/uat-9244.txt)
TRN-IND-0018,ip,45.77.34.194,Suspected UAT-9244 IP (Talos; association-only),Cisco Talos UAT-9244 IoC freeze (github-ioc/uat-9244.txt)
TRN-IND-0019,ip,45.77.41.141,Suspected UAT-9244 IP (Talos; association-only),Cisco Talos UAT-9244 IoC freeze (github-ioc/uat-9244.txt)
TRN-IND-0020,ip,47.76.100.159,Suspected UAT-9244 IP (Talos; association-only),Cisco Talos UAT-9244 IoC freeze (github-ioc/uat-9244.txt)
TRN-IND-0021,ip,64.190.113.170,Suspected UAT-9244 IP (Talos; association-only),Cisco Talos UAT-9244 IoC freeze (github-ioc/uat-9244.txt)
TRN-IND-0022,ip,64.95.10.253,Suspected UAT-9244 IP (Talos; association-only),Cisco Talos UAT-9244 IoC freeze (github-ioc/uat-9244.txt)
