indicator_type,value,first_seen_utc,last_seen_utc,confidence,provenance,evidence_id,notes
ip,139.84.227.139,unspecified,2026-09-19T19:05:00Z,High,PRIMARY-SOURCE,,Resolves from telecom.webredirect.org; primary C2.
ip,194.135.25.132,unspecified,2026-09-19T19:05:00Z,High,PRIMARY-SOURCE,,Second C2 via shared cert; Afghanistan ISP victim traffic Dec2025-Feb2026.
ip,23.27.201.160,unspecified,2026-09-19T19:05:00Z,High,PRIMARY-SOURCE,,Hosted singtelcom.site. Also in BLL Showboat_IOCs.txt :443. CDN demotion N/A. author_attribution=NOT_ESTABLISHED.
ip,101.36.105.222,unspecified,2026-09-19T19:05:00Z,High,PRIMARY-SOURCE,,Hosted kaztelecom.shop.
ip,103.10.145.129,2023-04-04,2026-09-19T19:05:00Z,High,PRIMARY-SOURCE,,Hosted ukpkmkk.bin; first_seen 2023-04-04 supports historical activity. CDN demotion N/A. author_attribution=NOT_ESTABLISHED.
ip,114.116.239.178,2024-11-01,2026-09-19T19:05:00Z,High,PRIMARY-SOURCE,,Hosted ukpkmkk.bin 2024-11 to 2025-02. CDN demotion N/A. author_attribution=NOT_ESTABLISHED.
ip,192.9.141.111,unspecified,2026-09-19T19:05:00Z,High,PRIMARY-SOURCE,,Secondary cluster; possible US victims on port 9999.
ip,64.176.43.209,unspecified,2026-09-19T19:05:00Z,High,PRIMARY-SOURCE,,Secondary cluster; Ukraine-region traffic noted by Lumen.
ip,116.169.244.208,unspecified,2026-09-19T19:05:00Z,Moderate,PRIMARY-SOURCE,,Possible upstream/dev; China Unicom Chengdu. ASSOCIATION_ONLY for actor ownership.
ip,45.76.157.243,2024-06-11,2026-09-19T19:00:09Z,High,PRIMARY-SOURCE,,BLL Showboat_IOCs.txt C2 table :443 2024-06-11â€“2024-10-18. Local: evidence/primary-sources/showboat/Showboat_IOCs_2026-09-19T190009Z.txt. Primary URL: https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms. CDN demotion N/A. author_attribution=NOT_ESTABLISHED.
ip,139.84.135.190,2024-06-08,2026-09-19T19:00:09Z,High,PRIMARY-SOURCE,,BLL Showboat_IOCs.txt C2 table :443 2024-06-08â€“2024-07-10. Local: evidence/primary-sources/showboat/Showboat_IOCs_2026-09-19T190009Z.txt. Primary URL: https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms. CDN demotion N/A. author_attribution=NOT_ESTABLISHED.
ip,139.180.223.193,2024-09-05,2026-09-19T19:00:09Z,High,PRIMARY-SOURCE,,BLL Showboat_IOCs.txt C2 table :443 2024-09-05â€“2025-02-10. Local: evidence/primary-sources/showboat/Showboat_IOCs_2026-09-19T190009Z.txt. Primary URL: https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms. CDN demotion N/A. author_attribution=NOT_ESTABLISHED.
ip,152.32.159.11,2024-02-05,2026-09-19T19:00:09Z,High,PRIMARY-SOURCE,,BLL Showboat_IOCs.txt C2 table :443 with domain singtelcom.site 2024-02-05â€“2025-03-05. Local: evidence/primary-sources/showboat/Showboat_IOCs_2026-09-19T190009Z.txt. Primary URL: https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms. CDN demotion N/A. author_attribution=NOT_ESTABLISHED.
ip,38.246.73.120,2025-03-10,2026-09-19T19:00:09Z,High,PRIMARY-SOURCE,,BLL Showboat_IOCs.txt C2 table :443 2025-03-10â€“2025-05-28. Local: evidence/primary-sources/showboat/Showboat_IOCs_2026-09-19T190009Z.txt. Primary URL: https://www.lumen.com/blog/en-us/introducing-showboat-a-new-malware-family-taunts-defenses-and-targets-international-telecom-firms. CDN demotion N/A. author_attribution=NOT_ESTABLISHED.
