indicator_type,value,first_seen_utc,last_seen_utc,confidence,provenance,evidence_id,notes
sha256,151d2a7f52f047638ca8ad80c859c6bfe04d7510fb10933817fa0e3ba5d07a11,2026-07/2026-08,2026-09-19T19:05:00Z,High,PRIMARY-SOURCE,SYN-IND-0002,331.msi | NOT OBSERVED by ETW until passive row exists.
sha256,80f08360ba768b152b71abb1cab557f552a13de18c83fe8e6396a197feec9185,2026-07/2026-08,2026-09-19T19:05:00Z,High,PRIMARY-SOURCE,SYN-IND-0003,cleaner.ps1 | NOT OBSERVED by ETW until passive row exists.
sha256,209f69a6ca859f05c954096b30391a43fda33c9ed264dfdccf806697f04b06a8,2026-07/2026-08,2026-09-19T19:05:00Z,High,PRIMARY-SOURCE,SYN-IND-0004,archive6.zip | NOT OBSERVED by ETW until passive row exists.
sha256,d150c70d2732df17aa77991b9ebf4c896f044445e900978581d9598dfa5dc98c,2026-07/2026-08,2026-09-19T19:05:00Z,High,PRIMARY-SOURCE,SYN-IND-0005,ss.py main loader | NOT OBSERVED by ETW until passive row exists.
sha256,61f961cfebdf9967844526649b4b75bba5b1b83210b70aa1bffe3f64e6ac3112,2026-07/2026-08,2026-09-19T19:05:00Z,High,PRIMARY-SOURCE,SYN-IND-0006,msvcp150.dll PowerShell executor | NOT OBSERVED by ETW until passive row exists.
sha256,8207d8d949530ea063ffd5d47ee81b74bf718ec0a4755e2349e6af9b91e92dc1,2026-07/2026-08,2026-09-19T19:05:00Z,High,PRIMARY-SOURCE,SYN-IND-0007,msvcp160.dll DLL loader | NOT OBSERVED by ETW until passive row exists.
sha256,c4acda412774c292f0db5d64467a2dd09282cdea43c41967e8bf90f6298accf3,2026-07/2026-08,2026-09-19T19:05:00Z,High,PRIMARY-SOURCE,SYN-IND-0008,Profiling module loader | NOT OBSERVED by ETW until passive row exists.
sha256,63622c1ddb3e2a9f11cac192e13ac7494f558516b19d5d8f140f6d0d4d38ea84,2026-07/2026-08,2026-09-19T19:05:00Z,High,PRIMARY-SOURCE,SYN-IND-0009,Persistence module loader | NOT OBSERVED by ETW until passive row exists.
sha256,a335e75b78b601ebc5c258975d95fd79aa21f836fc6b79d82e9a22c596133f07,2026-07/2026-08,2026-09-19T19:05:00Z,High,PRIMARY-SOURCE,SYN-IND-0010,Fake lock screen loader | NOT OBSERVED by ETW until passive row exists.
sha256,0428fbdefa8dda10ce8fc12b1b516641e83cd5088388168e3f1a0be1432b4077,2026-07/2026-08,2026-09-19T19:05:00Z,High,PRIMARY-SOURCE,SYN-IND-0011,Persistence module DLL | NOT OBSERVED by ETW until passive row exists.
sha256,cb1c657f74b9e57f5e81126179128e8db949d1d4196be9dcb890341e222fd384,2026-07/2026-08,2026-09-19T19:05:00Z,High,PRIMARY-SOURCE,SYN-IND-0012,Fake lock screen DLL (article typo SAH256) | NOT OBSERVED by ETW until passive row exists.
