package_id,family,folder,threat_type,status,ic3_complaint_number,fbi_tip_or_case_number,reviewer,review_date_utc,filed_date_utc,notes
ETW-RAP-IC3,Rapuncel,packages/01-rapuncel,Windows stealer / GitHub-SEO distribution,FILED_IC3,208b747c6f7445f0af2b69a9d63acc36,,,2026-09-19T20:44:37Z,2026-09-19T20:44:37Z,IC3 Submission ID 208b747c6f7445f0af2b69a9d63acc36 filed 2026-09-19 4:44:37 PM EST; Rapuncel-only; 36 INDs; no personal loss claim
ETW-SET-IC3,Settra,packages/02-settra,Enterprise ransomware + operator intrusion,FILED_IC3,631d8b4800d04bc19cdbfc6662e5c52c,,,2026-09-19T20:59:46Z,2026-09-19T20:59:46Z,IC3 Submission ID 631d8b4800d04bc19cdbfc6662e5c52c filed 2026-09-19 4:59:46 PM EST; Settra-only; 16 INDs; separate from Rapuncel 208b747c6f7445f0af2b69a9d63acc36; no shared-operator claim
ETW-RAT-IC3,RatHat,packages/03-rathat,Android Accessibility/ADB RAT,FILED_IC3,f92c4c2f0dd3481f898fdd125e728adf,,,2026-09-19T21:08:29Z,2026-09-19T21:08:29Z,IC3 Submission ID f92c4c2f0dd3481f898fdd125e728adf filed 2026-09-19 5:08:29 PM EST; RatHat-only; 40 INDs; separate from Rapuncel 208b747c6f7445f0af2b69a9d63acc36 and Settra 631d8b4800d04bc19cdbfc6662e5c52c; no shared-operator claim; package names not invented
ETW-NRB-IC3,NodeRabbit,packages/04-noderabbit,Cross-platform developer-targeted RAT,FILED_IC3,dded86972e9347e0be27a6597b4cf08a,,,2026-09-19T21:15:51Z,2026-09-19T21:15:51Z,"IC3 Submission ID dded86972e9347e0be27a6597b4cf08a filed 2026-09-19 5:15:51 PM EST; NodeRabbit-only; 44 INDs; separate from Rapuncel 208b747c6f7445f0af2b69a9d63acc36, Settra 631d8b4800d04bc19cdbfc6662e5c52c, RatHat f92c4c2f0dd3481f898fdd125e728adf; Mirage Kitten = Kaspersky assessment only; PollCat not merged"
ETW-POL-IC3,PollCat,packages/05-pollcat,Cross-platform obfuscated JavaScript RAT (coding-challenge delivery),FILED_IC3,98a4444754324e539dbbffcb10c70637,,,2026-09-20T01:52:51Z,2026-09-20T01:52:51Z,IC3 Submission ID 98a4444754324e539dbbffcb10c70637 filed 2026-09-19 9:52:51 PM EST; PollCat-only; 15 POL-IND; RankChallenge MD5 is PollCat; separate from NodeRabbit dded86972e9347e0be27a6597b4cf08a; Mirage Kitten = Kaspersky assessment only; no personal loss claim
ETW-SYN-IC3,SynkLoader,packages/06-synkloader,Modular mixed-language loader / credential theft / tunneling,FILED_IC3,3440d0c64dc240499ff66deaa3311a0b,,,2026-09-20T02:04:35Z,2026-09-20T02:04:35Z,IC3 Submission ID 3440d0c64dc240499ff66deaa3311a0b filed 2026-09-19 10:04:35 PM EST; SynkLoader-only; 29 SYN-IND; separate from prior ETW filings; Matanbuchus not merged; OBSERVED_PASSIVE A IPs not live C2 contact; no personal loss claim
ETW-SHO-IC3,Showboat,packages/07-showboat,Linux modular post-exploitation framework,FILED_IC3,db42033f319844c08ad103befebfca08,,,2026-09-20T02:13:28Z,2026-09-20T02:13:28Z,IC3 Submission ID db42033f319844c08ad103befebfca08 filed 2026-09-19 10:13:28 PM EST; Showboat-only; 26 SHO-IND; separate from prior ETW filings; dating gap vs May 2026 disclosure; author NOT_ESTABLISHED; no personal loss claim
ETW-ABY-IC3,Abyssos,packages/08-abyssos,Modular Windows C++ RAT (HVNC / credential theft),FILED_IC3,a23f0a9d6799480e994284416d354713,,,2026-09-20T02:20:50Z,2026-09-20T02:20:50Z,IC3 Submission ID a23f0a9d6799480e994284416d354713 filed 2026-09-19 10:20:50 PM EST; Abyssos-only; 10 ABY-IND; PS-ABY-001 Zscaler; separate from prior ETW filings; author NOT_ESTABLISHED; delivery vector under investigation; no personal loss claim
ETW-SHK-IC3,SharkLoader,packages/09-sharkloader,Custom loader → Cobalt Strike (StrikeShark),FILED_IC3,6ed57963d0c64750aa14b6fcbaa2e576,,,2026-09-20T02:43:18Z,2026-09-20T02:43:18Z,IC3 Submission ID 6ed57963d0c64750aa14b6fcbaa2e576 filed 2026-09-19 10:43:18 PM EST; SharkLoader-only; 19 SHK-IND; PS-SHK-001 Securelist; separate from prior ETW filings; author NOT_ESTABLISHED; no personal loss claim
ETW-TEN-IC3,TencShell,packages/10-tencshell,Go implant / customized Rshell C2,PRIMARY_FROZEN,,,,2026-09-20T02:25:00Z,,PS-TEN-001 Cato + PS-TEN-002/003 Hunt.io follow-on (+ Infosecurity SECONDARY); 30 TEN-IND; not IC3-filed; OSS Rshell ≠ IOC; ARM/Gshell rows are infra-pivot related; author NOT_ESTABLISHED
ETW-MNF-IC3,MiniFast,packages/11-minifast,AI-assisted .NET backdoor / Zoom trust abuse,PRIMARY_FROZEN,,,,2026-09-20T02:25:00Z,,PS-MNF-001 Check Point + PS-MNF-002 Unit 42 Screening Serpens (MiniUpdate naming) (+ CyberVeille/THN SECONDARY); 44 MNF-IND; not IC3-filed; MiniJunk V2 sibling-only; do not merge with PollCat; author NOT_ESTABLISHED
