evidence_id,family,indicator,type,first_seen,provenance,confidence,independently_verified,source_url,retrieval_date_utc,notes,status_label
RAT-IND-0001,RatHat,liblocal-service.so,filename,unspecified,PRIMARY-SOURCE,High,false,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,2026-09-19T18:07:48Z,Go agent | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
RAT-IND-0002,RatHat,/data/local/tmp,path,unspecified,PRIMARY-SOURCE,High,false,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,2026-09-19T18:07:48Z,staging path | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
RAT-IND-0003,RatHat,libmedia_codec.so,filename,unspecified,PRIMARY-SOURCE,High,false,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,2026-09-19T18:07:48Z,disguised FRP client | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
RAT-IND-0004,RatHat,127.0.0.1:7910,local_service,unspecified,PRIMARY-SOURCE,High,false,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,2026-09-19T18:07:48Z,Go agent HTTP | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
RAT-IND-0005,RatHat,/api/node/register,uri_path,unspecified,PRIMARY-SOURCE,High,false,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,2026-09-19T18:07:48Z,C2 register | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
RAT-IND-0006,RatHat,/api/data/credentials,uri_path,unspecified,PRIMARY-SOURCE,High,false,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,2026-09-19T18:07:48Z,credential exfil | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
RAT-IND-0007,RatHat,/api/adbk/upload,uri_path,unspecified,PRIMARY-SOURCE,High,false,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,2026-09-19T18:07:48Z,ADB cert/key upload | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
RAT-IND-0008,RatHat,/api/adbk/port,uri_path,unspecified,PRIMARY-SOURCE,High,false,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,2026-09-19T18:07:48Z,ADB port reporting | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
RAT-IND-0009,RatHat,/api/data/cipher,uri_path,unspecified,PRIMARY-SOURCE,High,false,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,2026-09-19T18:07:48Z,PIN/pattern/password | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
RAT-IND-0010,RatHat,/api/tun/config,uri_path,unspecified,PRIMARY-SOURCE,High,false,https://zimperium.com/blog/rathat-ai-powered-mobile-threat-is-here-for-your-credentials-bank-accounts,2026-09-19T18:07:48Z,FRP config | Architectural IOC — no SHA-256 in parsed article body. NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
