evidence_id,family,indicator,type,first_seen,provenance,confidence,independently_verified,source_url,retrieval_date_utc,notes,status_label
NRB-IND-0001,NodeRabbit,1ea83e4e4592b01e4acab63eb867bee5,md5,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T18:07:48Z,Archive Front-Technical-Challenge.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
NRB-IND-0002,NodeRabbit,cbaaf0900a13f28e380f49adecec932c,md5,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T18:07:48Z,Archive FrontEnd-Task.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
NRB-IND-0003,NodeRabbit,366515822d5ac1cc500711ef57a2e32e,md5,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T18:07:48Z,Archive Task-FullStack.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
NRB-IND-0004,NodeRabbit,cf449f1992c2819e62ac44a0b06ac2e7,md5,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T18:07:48Z,Archive fullstack-1536.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
NRB-IND-0005,NodeRabbit,e95a4366686e3f786ea3c056fab5b0da,md5,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T18:07:48Z,Archive webapp76592.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
NRB-IND-0006,NodeRabbit,de5af16a3757ef700b01dc34d67079ae,md5,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T18:07:48Z,Archive webapp76531.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
NRB-IND-0007,NodeRabbit,be086789568441d0d7e4679aee51f566,md5,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T18:07:48Z,Archive challenges-17831.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
NRB-IND-0008,NodeRabbit,e259c5edf158aac4cfe14f77ddd0b196,md5,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T18:07:48Z,Archive challenges-17832.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
NRB-IND-0009,NodeRabbit,291ac3abe73c5158e59a437b75d5f0aa,md5,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T18:07:48Z,Archive Project-1802.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
NRB-IND-0010,NodeRabbit,0962f56d7ec69f4f2a0162dcbe22116b,md5,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T18:07:48Z,Archive Case-34234.zip. Preserve MD5; obtain SHA-256 via authorized metadata later. Alias NOD-EV in seed pass. NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
NRB-IND-0011,NodeRabbit,795e053a990a1569ffdcb57f48f6d085,md5,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T18:07:48Z,SUPERSEDED_CASE_TAG: RankChallenge-react ZIP is PollCat lure â€” authoritative row POL-IND-0001. Retained for cross-ref only; do not use as NodeRabbit IOC.,CROSS_REF_POLLCAT
