evidence_id,family,indicator,type,first_seen,provenance,confidence,independently_verified,source_url,retrieval_date_utc,notes,status_label
POL-IND-0001,PollCat,795e053a990a1569ffdcb57f48f6d085,md5,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T19:05:00Z,RankChallenge-react-6uJSX3-main.zip PollCat lure. Was mis-tagged NRB-IND-0011; keep NRB cross-ref only. SHA-256 unresolved.,CAMPAIGN_ASSOCIATED
POL-IND-0002,PollCat,sahi-finance.com,domain,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T19:05:00Z,PollCat registration C2 #1. NOT OBSERVED ownership.,CAMPAIGN_ASSOCIATED
POL-IND-0003,PollCat,gamebarappinformation.azurewebsites.net,domain,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T19:05:00Z,PollCat C2 #2 Azure. Shared edge ASSOCIATION_ONLY.,CAMPAIGN_ASSOCIATED
POL-IND-0004,PollCat,gamebarapp.azurewebsites.net,domain,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T19:05:00Z,PollCat C2 #3 Azure.,CAMPAIGN_ASSOCIATED
POL-IND-0005,PollCat,lifespotify.com,domain,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T19:05:00Z,OTP validation host; Kaspersky late-June-2026 registration claim.,CAMPAIGN_ASSOCIATED
POL-IND-0006,PollCat,https://lifespotify.com/api/users/b879746e-fed9-4211-a6da-4d8223681267/otp/validate,url,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T19:05:00Z,OTP validate URL path. Do not probe live.,CAMPAIGN_ASSOCIATED
POL-IND-0007,PollCat,requireObjects.js,filename,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T19:05:00Z,Malicious component started via requireAuth.js.,CAMPAIGN_ASSOCIATED
POL-IND-0008,PollCat,requireObject.js,filename,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T19:05:00Z,Windows persistence worker under %APPDATA%\Microsoft\Network.,CAMPAIGN_ASSOCIATED
POL-IND-0009,PollCat,com.harsh.requireobject.plist,filename,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T19:05:00Z,macOS LaunchAgent persistence marker.,CAMPAIGN_ASSOCIATED
POL-IND-0010,PollCat,NetSync_,scheduled_task_prefix,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T19:05:00Z,Windows task NetSync_<username> daily 09AM.,CAMPAIGN_ASSOCIATED
POL-IND-0011,PollCat,~/.node_packages,path,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T19:05:00Z,Linux/macOS persistence directory.,CAMPAIGN_ASSOCIATED
POL-IND-0012,PollCat,POST /beacon,http_endpoint,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T19:05:00Z,Registration; expects HTTP 400 + socketId.,CAMPAIGN_ASSOCIATED
POL-IND-0013,PollCat,GET /gate/fetch,http_endpoint,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T19:05:00Z,Command poll with token=socketId.,CAMPAIGN_ASSOCIATED
POL-IND-0014,PollCat,POST /gate/hello,http_endpoint,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T19:05:00Z,Host registration after socketId.,CAMPAIGN_ASSOCIATED
POL-IND-0015,PollCat,POST /api/system-details/result,http_endpoint,unspecified,PRIMARY-SOURCE,High,false,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,2026-09-19T19:05:00Z,SYSTEM_CHECK inventory exfil.,CAMPAIGN_ASSOCIATED
POL-IND-0016,PollCat,f49d66caae9ea0fd43f21f29e71a8d3e284517ed770f2aa86fa012953ad3c9ef,sha256,2026,PRIMARY-SOURCE,High,false,https://www.cyberveille.fr/,2026-09-20T16:38:16Z,Cyberveille PollCat-context PRIMARY SHA-256 (verify dual Securelist provenance) NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
