evidence_id,family,indicator,type,first_seen,provenance,confidence,independently_verified,source_url,retrieval_date_utc,notes,status_label
MAT-IND-0001,Matanbuchus,http://binclloudapp.com/466943,url,2025/2026,PRIMARY-SOURCE,High,false,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,2026-09-20T02:25:00Z,ClickFix MSI delivery URL (Huntress) NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MAT-IND-0002,Matanbuchus,https://marle.io/check/updprofile.aspx,url,2025/2026,PRIMARY-SOURCE,High,false,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,2026-09-20T02:25:00Z,Matanbuchus C2 — encrypted main module NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MAT-IND-0003,Matanbuchus,www.ndibstersoft.com,domain,2025/2026,PRIMARY-SOURCE,High,false,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,2026-09-20T02:25:00Z,AstarionRAT C2 host NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MAT-IND-0004,Matanbuchus,/intake/organizations/events?channel=app,string,2025/2026,PRIMARY-SOURCE,High,false,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,2026-09-20T02:25:00Z,AstarionRAT beacon polling path NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MAT-IND-0005,Matanbuchus,de81e2155d797ff729ed3112fd271aa2728e75fc71b023d0d9bb0f62663f33b3,sha256,2025/2026,PRIMARY-SOURCE,High,false,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,2026-09-20T02:25:00Z,INFO encrypted shellcode NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MAT-IND-0006,Matanbuchus,6ffae128e0dbf14c00e35d9ca17c9d6c81743d1fc5f8dd4272a03c66ecc1ad1f,sha256,2025/2026,PRIMARY-SOURCE,High,false,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,2026-09-20T02:25:00Z,SystemStatus.dll Matanbuchus 3.0 loader NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MAT-IND-0007,Matanbuchus,68858d3cbc9b8abaed14e85fc9825bc4fffc54e8f36e96ddda09e853a47e3e31,sha256,2025/2026,PRIMARY-SOURCE,High,false,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,2026-09-20T02:25:00Z,jli.dll stage-2 loader NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MAT-IND-0008,Matanbuchus,03c624d251e9143e1c8d90ba9b7fa1f2c5dc041507fd0955bdd4048a0967a829,sha256,2025/2026,PRIMARY-SOURCE,High,false,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,2026-09-20T02:25:00Z,SySUpd XOR-encrypted Lua script NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MAT-IND-0009,Matanbuchus,8e54cd12591d67dfbe72e94c1bde6059e1cba157e6786aec63f8f9e3c71fb925,sha256,2025/2026,PRIMARY-SOURCE,High,false,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,2026-09-20T02:25:00Z,Reflective PE loader NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MAT-IND-0010,Matanbuchus,c31c8edbf94c85cc9bc46a5665c45a3556c48d5ad615c0a44e14e5406d80df12,sha256,2025/2026,PRIMARY-SOURCE,High,false,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,2026-09-20T02:25:00Z,Stage 1 payload NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MAT-IND-0011,Matanbuchus,eecc83add16f3d513a9701e9a646b1885014229ac6f86addd6b10afb64d1d2af,sha256,2025/2026,PRIMARY-SOURCE,High,false,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,2026-09-20T02:25:00Z,Beacon.exe / AstarionRAT NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MAT-IND-0012,Matanbuchus,ea378496135318ac5ad667a032fa4a9686add9d27fe4a7c549c937611b5099e5,sha256,2025/2026,PRIMARY-SOURCE,High,false,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,2026-09-20T02:25:00Z,Updprofile.aspx Matanbuchus core module NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MAT-IND-0013,Matanbuchus,%LOCALAPPDATA%\Temp\ndvyxgdriggmarrf,path,2025/2026,PRIMARY-SOURCE,High,false,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,2026-09-20T02:25:00Z,Stage-2 DLL sideloading package drop path NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MAT-IND-0014,Matanbuchus,binclloudapp.com,domain,2025/2026,PRIMARY-SOURCE,High,false,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,2026-09-20T02:25:00Z,ClickFix MSI delivery domain (created 2026-02-05 per Huntress) NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
MAT-IND-0015,Matanbuchus,192.121.23.146,ipv4,2025/2026,PRIMARY-SOURCE,High,false,https://www.huntress.com/blog/clickfix-matanbuchus-astarionrat-analysis,2026-09-20T02:25:00Z,binclloudapp.com resolution (M247 AS9009) per Huntress NOT OBSERVED by ETW.,CAMPAIGN_ASSOCIATED
