indicator_id,type,value,notes,source
NRB-IND-0001,sha256,2e74f6bd9bf73131d3213399ed2f669ec5f75392de69edf8ce8196cd70eb6aee,iamnotarobot.dll May 2025,Google GTIG
NRB-IND-0002,sha256,3b49904b68aedb6031318438ad2ff7be4bf9fd865339330495b177d5c4be69d1,checkme.dll June 2025,Google GTIG
NRB-IND-0003,sha256,e9c8f6a7dba6e84a7226af89e988ae5e4364e2ff2973c72e14277c0f1462109b,checkme.dll June 2025,Google GTIG
NRB-IND-0004,sha256,f2da013157c09aec9ceba1d4ac1472ed049833bc878a23bc82fe7eacbad399f4,machinerie.dll,Google GTIG
NRB-IND-0005,sha256,87138f63974a8ccbbf5840c31165f1a4bf92a954bacccfbf1e7e5525d750aa48,machinerie.dll late Aug,Google GTIG
NRB-IND-0006,sha256,c4d0fba5aaafa40aef6836ed1414ae3eadc390e1969fdcb3b73c60fe7fb37897,COLDCOPY ClickFix lure,Google GTIG
NRB-IND-0007,domain,inspectguarantee.org,delivery,Google GTIG
NRB-IND-0008,domain,captchanom.top,delivery,Google GTIG
NRB-IND-0009,domain,viewerdoconline.com,COLDCOPY,Google GTIG
NRB-IND-0010,domain,documentsec.com,COLDCOPY,Google GTIG
