indicator_id,type,value,notes,source
MNV-IND-0001,sha256,0e83e8bfa61400e2b544190400152a54d3544bf31cfec9dda21954a79cf581e9,MonsterV2 / TA585 related sample (Proofpoint),Proofpoint TA585 MonsterV2 freeze
MNV-IND-0002,sha256,399d3e0771b939065c980a5e680eec6912929b64179bf4c36cefb81d77a652da,MonsterV2 / TA585 related sample (Proofpoint),Proofpoint TA585 MonsterV2 freeze
MNV-IND-0003,sha256,5b7c3e6f9d8a1f42bcde0347fa8c9e12d13a4597628f6bd57c4e81a9670d3f5a,MonsterV2 / TA585 related sample (Proofpoint),Proofpoint TA585 MonsterV2 freeze
MNV-IND-0004,sha256,6237f91240abdbe610a8201c9d55a565aabd2419ecbeb3cd4fe387982369f4ae,MonsterV2 / TA585 related sample (Proofpoint),Proofpoint TA585 MonsterV2 freeze
MNV-IND-0005,sha256,666944b19c707afaa05453909d395f979a267b28ff43d90d143cd36f6b74b53e,MonsterV2 / TA585 related sample (Proofpoint),Proofpoint TA585 MonsterV2 freeze
MNV-IND-0006,sha256,69e9c41b5ef6c33b5caff67ffd3ad0ddd01a799f7cde2b182df3326417dfb78e,MonsterV2 / TA585 related sample (Proofpoint),Proofpoint TA585 MonsterV2 freeze
MNV-IND-0007,sha256,7cd1fd7f526d4f85771e3b44f5be064b24fbb1e304148bbac72f95114a13d8c5,MonsterV2 / TA585 related sample (Proofpoint),Proofpoint TA585 MonsterV2 freeze
MNV-IND-0008,sha256,912ef177e319b5010a709a1c7143f854e5d1220d176bc130c5564f5efe8145ed,MonsterV2 / TA585 related sample (Proofpoint),Proofpoint TA585 MonsterV2 freeze
MNV-IND-0009,sha256,93d8fe2065bca71bef2486ad7fa0c935ecc27104abf9e6531875f22cb40d9e8f,MonsterV2 / TA585 related sample (Proofpoint),Proofpoint TA585 MonsterV2 freeze
MNV-IND-0010,sha256,98f647eada829bad4d30594496953ddc788c06044f949514e43c3532a83f79e2,MonsterV2 / TA585 related sample (Proofpoint),Proofpoint TA585 MonsterV2 freeze
MNV-IND-0011,sha256,a8f1d32c497eb560c9a21d87f34eb70591d2c864eaf53bd7906c12f8d4e39baf,MonsterV2 / TA585 related sample (Proofpoint),Proofpoint TA585 MonsterV2 freeze
MNV-IND-0012,sha256,b36aac2ea25afd2010d987de524f9fc096bd3e1b723d615a2d85d20c52d2a711,MonsterV2 / TA585 related sample (Proofpoint),Proofpoint TA585 MonsterV2 freeze
MNV-IND-0013,sha256,ba72e8024c90aeffbd56cdf2ab9033a323b63c83bd5df19268978cded466214e,MonsterV2 / TA585 related sample (Proofpoint),Proofpoint TA585 MonsterV2 freeze
MNV-IND-0014,sha256,ccac0311b3e3674282d87db9fb8a151c7b11405662159a46dda71039f2200a67,MonsterV2 / TA585 related sample (Proofpoint),Proofpoint TA585 MonsterV2 freeze
MNV-IND-0015,sha256,d221bf1318b8c768a6d824e79c9e87b488c1ae632b33848b638e6b2d4c76182b,MonsterV2 / TA585 related sample (Proofpoint),Proofpoint TA585 MonsterV2 freeze
MNV-IND-0016,sha256,d2c690dc50aab9a747cb007581c42f03855e8fe2ed922e6706b178b00522f212,MonsterV2 / TA585 related sample (Proofpoint),Proofpoint TA585 MonsterV2 freeze
MNV-IND-0017,sha256,e7bcd70f0ee4a093461cfb964955200b409dfffd3494b692d54618d277cb309e,MonsterV2 / TA585 related sample (Proofpoint),Proofpoint TA585 MonsterV2 freeze
