indicator_id,type,value,notes,source
GNL-IND-0001,md5,A50EAAF514F4F84E61CA2455A8789753,kftd.exe / genie_encrypt.exe,Kaspersky GReAT
GNL-IND-0002,md5,F08F476F26B01D142CA73923DE65FC0C,Windows sample,Kaspersky GReAT
GNL-IND-0003,md5,FD46A80C2F45577263328984EDF7F4DC,Windows sample,Kaspersky GReAT
GNL-IND-0004,md5,DE3CFBB50F66079BFEE20A6F64E59433,Windows sample,Kaspersky GReAT
GNL-IND-0005,md5,780C8F4C6F077DA4DA96582987920362,Windows sample,Kaspersky GReAT
GNL-IND-0006,md5,D87D0B01D95ACC936B7DC47B8F41937A,run.exe / genie_encrypt.exe,Kaspersky GReAT
GNL-IND-0007,md5,34A7F28E0BB69B0D49BACC88BDF20AC1,run.exe / genie.exe,Kaspersky GReAT
GNL-IND-0008,md5,5D62C1349B8981C396C9A23F4F8F053C,genie_encrypt.exe,Kaspersky GReAT
GNL-IND-0009,md5,A8842616C9057D5CF6E1FE1FA8C3C160,Windows sample,Kaspersky GReAT
GNL-IND-0010,md5,9201E35E2993612612919A3C71302CAB,Linux/ESXi vzdump,Kaspersky GReAT
GNL-IND-0011,ip,89.125.66.101,C2 per Securelist,Kaspersky GReAT
