indicator_id,type,value,notes,source
DEN-IND-0001,sha256,4ac3e1ecd2c4745f2e846ec7655b92234ee92068bffc7690c3f0184dc25c71da,chain artifact per eSentire,eSentire TRU
DEN-IND-0002,sha256,ece42baaca7524460cc5ffc9ae94c2a634a67610decdd2bdc8f134c36fa2dd6c,chain artifact,eSentire TRU
DEN-IND-0003,sha256,7682e9ac86ff47cc198812719ca54e169c3cb21ce584ad2a278a640f4833de46,chain artifact,eSentire TRU
DEN-IND-0004,sha256,3dffe05d9cc49b2598d743301a8991965056d97bb8d429de461ed66c0dbde28b,chain artifact,eSentire TRU
DEN-IND-0005,sha256,6103228087aaee53f37db88ab7aa1e7e5dd8c27a395bef7e3af985774a888c94,exec-ps Nightshade decrypt,eSentire TRU
DEN-IND-0006,sha256,1f233db3e59051811e16c65e32121f69dd80e91567002978e47a613a5a4903b0,exec-ps install.pyc download,eSentire TRU
DEN-IND-0007,sha256,e0dd60bb3a409029988db6a10cb1e36586c2636da9eff3a3587bc38473fde54b,install.pyc,eSentire TRU
DEN-IND-0008,sha256,b4fd836b82f2d8daf8b90a95046987e993e5687707fc57b527a8145d865e3fdc,encrypted NightshadeC2,eSentire TRU
DEN-IND-0009,sha256,c1e0a0543b12c64726f8bb36389010d7f35e57993a22ce5b73c56b9cc2a87a00,NightshadeC2 payload,eSentire TRU
DEN-IND-0010,sha256,c2cdf1ecd6684bbcef0405444a570a76e9589bbd563476b08788bde34d83b511,install.py,eSentire TRU
DEN-IND-0011,sha256,a06d514a34d2ab08c3a13a58056827c50ba9bf01b68ca4b2cecb4e1462af53fa,install.py stage2,eSentire TRU
DEN-IND-0012,sha256,fa0d1adb545881a2d8a508191961a9fd39485c4ac2a0f20ad8e2f931dc45c9ef,reflective PE loader shellcode,eSentire TRU
DEN-IND-0013,domain,columbnezhjdq.com,ClickFix,eSentire TRU
DEN-IND-0014,domain,webstizkgao.com,DinDoor/DenoRAT C2,eSentire TRU
DEN-IND-0015,domain,smallsmokik.com,NightshadeC2 dead-drop,eSentire TRU
DEN-IND-0016,url,http://webstizkgao.com/message-event,DenoRAT tasks,eSentire TRU
DEN-IND-0017,url,http://webstizkgao.com/health,health,eSentire TRU
DEN-IND-0018,url,http://webstizkgao.com/user,registration,eSentire TRU
