indicator_id,type,value,notes,source
MLT-IND-0001,sha256,1e41c7bfaa6aa3b93b6cc024274a10e33f3e12fe7c98c1db387ef8927f9d1984,stage-one loader,Zscaler ThreatLabz
MLT-IND-0002,sha256,46b2155c1e71b840d4b7a2e94410b89a61e2446523e6f497206d402eb02e0e93,archive stage-one + encrypted,Zscaler ThreatLabz
MLT-IND-0003,sha256,9e52cc90cff150abe21f0a6440e86e0a99ff383b81061b96def8948e21d0ac66,MLTBackdoor domains+DGA,Zscaler ThreatLabz
MLT-IND-0004,sha256,ced6b0f44410f6133ad63b61e04613a8b56cc3338d7b34497540e9541163e7ec,DGA only,Zscaler ThreatLabz
MLT-IND-0005,sha256,1d09357b6a096fdc35cd5c873eed15665d6b3c879d20c8cf01e6bca0005512cf,DGA only,Zscaler ThreatLabz
MLT-IND-0006,sha256,2cd88d5280a61714836f5f07a16df190911c5b952af2998dbbcda910b3b1c494,domains only,Zscaler ThreatLabz
MLT-IND-0007,sha256,d34e4038c5c80728f9648ba84833f69bc1ccea82e2e8e748b7b7f02fb687b92b,update sideload archive,Zscaler ThreatLabz
MLT-IND-0008,domain,rs2y15sungu.com,DGA/distribution,Zscaler ThreatLabz
MLT-IND-0009,domain,carrolc.com,C2,Zscaler ThreatLabz
MLT-IND-0010,domain,cwrtwright.com,C2,Zscaler ThreatLabz
MLT-IND-0011,domain,thomphon.com,C2,Zscaler ThreatLabz
MLT-IND-0012,url,https://powwowski.com/payloads/update.zip,update URL,Zscaler ThreatLabz
