family,domain,crt_sh_url,crt_sh_wildcard_url,virustotal_url,urlscan_url,rdap_url,provenance,status,notes
Rapuncel,albinofennel.com,https://crt.sh/?q=albinofennel.com,https://crt.sh/?q=%25.albinofennel.com,https://www.virustotal.com/gui/domain/albinofennel.com,https://urlscan.io/search/#domain:albinofennel.com,https://rdap.org/domain/albinofennel.com,COLLECTION_SEED,UNVERIFIED,Do not fabricate cert IDs. DNS resolution ≠ malicious. CDN/Azure edges are low-specificity.
Rapuncel,hanselarinmusky.com,https://crt.sh/?q=hanselarinmusky.com,https://crt.sh/?q=%25.hanselarinmusky.com,https://www.virustotal.com/gui/domain/hanselarinmusky.com,https://urlscan.io/search/#domain:hanselarinmusky.com,https://rdap.org/domain/hanselarinmusky.com,COLLECTION_SEED,UNVERIFIED,Do not fabricate cert IDs. DNS resolution ≠ malicious. CDN/Azure edges are low-specificity.
Rapuncel,icansamyope.com,https://crt.sh/?q=icansamyope.com,https://crt.sh/?q=%25.icansamyope.com,https://www.virustotal.com/gui/domain/icansamyope.com,https://urlscan.io/search/#domain:icansamyope.com,https://rdap.org/domain/icansamyope.com,COLLECTION_SEED,UNVERIFIED,Do not fabricate cert IDs. DNS resolution ≠ malicious. CDN/Azure edges are low-specificity.
Rapuncel,istatlmenus.com,https://crt.sh/?q=istatlmenus.com,https://crt.sh/?q=%25.istatlmenus.com,https://www.virustotal.com/gui/domain/istatlmenus.com,https://urlscan.io/search/#domain:istatlmenus.com,https://rdap.org/domain/istatlmenus.com,COLLECTION_SEED,UNVERIFIED,Do not fabricate cert IDs. DNS resolution ≠ malicious. CDN/Azure edges are low-specificity.
Rapuncel,macperformancetools.com,https://crt.sh/?q=macperformancetools.com,https://crt.sh/?q=%25.macperformancetools.com,https://www.virustotal.com/gui/domain/macperformancetools.com,https://urlscan.io/search/#domain:macperformancetools.com,https://rdap.org/domain/macperformancetools.com,COLLECTION_SEED,UNVERIFIED,Do not fabricate cert IDs. DNS resolution ≠ malicious. CDN/Azure edges are low-specificity.
Rapuncel,zaffersnouty.com,https://crt.sh/?q=zaffersnouty.com,https://crt.sh/?q=%25.zaffersnouty.com,https://www.virustotal.com/gui/domain/zaffersnouty.com,https://urlscan.io/search/#domain:zaffersnouty.com,https://rdap.org/domain/zaffersnouty.com,COLLECTION_SEED,UNVERIFIED,Do not fabricate cert IDs. DNS resolution ≠ malicious. CDN/Azure edges are low-specificity.
Rapuncel,ryanpresbrey.cc,https://crt.sh/?q=ryanpresbrey.cc,https://crt.sh/?q=%25.ryanpresbrey.cc,https://www.virustotal.com/gui/domain/ryanpresbrey.cc,https://urlscan.io/search/#domain:ryanpresbrey.cc,https://rdap.org/domain/ryanpresbrey.cc,COLLECTION_SEED,UNVERIFIED,Do not fabricate cert IDs. DNS resolution ≠ malicious. CDN/Azure edges are low-specificity.
NodeRabbit,visitfinancedentists.com,https://crt.sh/?q=visitfinancedentists.com,https://crt.sh/?q=%25.visitfinancedentists.com,https://www.virustotal.com/gui/domain/visitfinancedentists.com,https://urlscan.io/search/#domain:visitfinancedentists.com,https://rdap.org/domain/visitfinancedentists.com,COLLECTION_SEED,UNVERIFIED,Do not fabricate cert IDs. DNS resolution ≠ malicious. CDN/Azure edges are low-specificity.
NodeRabbit,healthcomfsdpower.com,https://crt.sh/?q=healthcomfsdpower.com,https://crt.sh/?q=%25.healthcomfsdpower.com,https://www.virustotal.com/gui/domain/healthcomfsdpower.com,https://urlscan.io/search/#domain:healthcomfsdpower.com,https://rdap.org/domain/healthcomfsdpower.com,COLLECTION_SEED,UNVERIFIED,Do not fabricate cert IDs. DNS resolution ≠ malicious. CDN/Azure edges are low-specificity.
NodeRabbit,msmanagementgrp.com,https://crt.sh/?q=msmanagementgrp.com,https://crt.sh/?q=%25.msmanagementgrp.com,https://www.virustotal.com/gui/domain/msmanagementgrp.com,https://urlscan.io/search/#domain:msmanagementgrp.com,https://rdap.org/domain/msmanagementgrp.com,COLLECTION_SEED,UNVERIFIED,Do not fabricate cert IDs. DNS resolution ≠ malicious. CDN/Azure edges are low-specificity.
NodeRabbit,msmanagementgrpmedia.com,https://crt.sh/?q=msmanagementgrpmedia.com,https://crt.sh/?q=%25.msmanagementgrpmedia.com,https://www.virustotal.com/gui/domain/msmanagementgrpmedia.com,https://urlscan.io/search/#domain:msmanagementgrpmedia.com,https://rdap.org/domain/msmanagementgrpmedia.com,COLLECTION_SEED,UNVERIFIED,Do not fabricate cert IDs. DNS resolution ≠ malicious. CDN/Azure edges are low-specificity.
NodeRabbit,plugplay.azurewebsites.net,https://crt.sh/?q=plugplay.azurewebsites.net,https://crt.sh/?q=%25.plugplay.azurewebsites.net,https://www.virustotal.com/gui/domain/plugplay.azurewebsites.net,https://urlscan.io/search/#domain:plugplay.azurewebsites.net,https://rdap.org/domain/plugplay.azurewebsites.net,COLLECTION_SEED,UNVERIFIED,Do not fabricate cert IDs. DNS resolution ≠ malicious. CDN/Azure edges are low-specificity.
